cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,962.0,62.0,233.0,18.2,5512.0,1660.0,430.0,71.0,65.0,1.5,28.265306122448983,123.0,76.0,91.66666666666669,47.0
1,736.0,82.0,87.0,8.0,38.0,65.5,17.0,70.0,75.55,1.57,30.09510297384213,130.0,78.0,95.33333333333331,50.0
2,871.0,69.0,204.0,18.6,190.0,198.5,44.0,71.0,72.0,1.55,30.242026421843097,129.0,78.0,94.5,51.0
3,868.0,69.0,255.5,16.4,1060.0,4510.0,1110.0,71.0,73.4,1.6,29.4140625,128.0,81.0,97.0,51.0
4,934.0,64.0,85.0,12.5,61.0,84.0,25.5,71.0,71.95,1.56,29.283125384742426,127.5,75.0,92.83333333333334,53.0
5,100.0,60.0,192.5,21.05,244.5,122.0,26.5,75.5,72.6,1.53,30.09978117869707,128.5,72.5,92.0,52.0
