variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,12,15,0.8,,,
sex,0,2.0,3,15,0.2,,,
sex,1,1.0,91,150,0.6066666666666667,,,
sex,1,2.0,59,150,0.3933333333333333,,,
sex,2,1.0,142,172,0.8255813953488372,,,
sex,2,2.0,30,172,0.1744186046511628,,,
sex,3,1.0,15,19,0.7894736842105263,,,
sex,3,2.0,4,19,0.21052631578947367,,,
sex,4,1.0,98,164,0.5975609756097561,,,
sex,4,2.0,66,164,0.4024390243902439,,,
sex,5,1.0,8,10,0.8,,,
sex,5,2.0,2,10,0.2,,,
age_group,0,,6,15,0.4,60-69,,
age_group,0,,9,15,0.6,70-79,,
age_group,1,,70,150,0.4666666666666667,60-69,,
age_group,1,,71,150,0.47333333333333333,70-79,,
age_group,1,,8,150,0.05333333333333334,80+,,
age_group,1,,1,150,0.006666666666666667,<60,,
age_group,2,,77,172,0.4476744186046512,60-69,,
age_group,2,,82,172,0.47674418604651164,70-79,,
age_group,2,,10,172,0.05813953488372093,80+,,
age_group,2,,3,172,0.01744186046511628,<60,,
age_group,3,,9,19,0.47368421052631576,60-69,,
age_group,3,,10,19,0.5263157894736842,70-79,,
age_group,4,,53,164,0.3231707317073171,60-69,,
age_group,4,,84,164,0.5121951219512195,70-79,,
age_group,4,,21,164,0.12804878048780488,80+,,
age_group,4,,6,164,0.036585365853658534,<60,,
age_group,5,,4,10,0.4,60-69,,
age_group,5,,5,10,0.5,70-79,,
age_group,5,,1,10,0.1,80+,,
bmi_cat,0,,1,15,0.06666666666666667,,low,
bmi_cat,0,,6,15,0.4,,normal,
bmi_cat,0,,5,15,0.3333333333333333,,obesity,
bmi_cat,0,,3,15,0.2,,overweight,
bmi_cat,1,,6,150,0.04,,low,
bmi_cat,1,,43,150,0.2866666666666667,,normal,
bmi_cat,1,,57,150,0.38,,obesity,
bmi_cat,1,,44,150,0.29333333333333333,,overweight,
bmi_cat,2,,6,172,0.03488372093023256,,low,
bmi_cat,2,,60,172,0.3488372093023256,,normal,
bmi_cat,2,,66,172,0.38372093023255816,,obesity,
bmi_cat,2,,40,172,0.23255813953488372,,overweight,
bmi_cat,3,,1,19,0.05263157894736842,,low,
bmi_cat,3,,3,19,0.15789473684210525,,normal,
bmi_cat,3,,6,19,0.3157894736842105,,obesity,
bmi_cat,3,,9,19,0.47368421052631576,,overweight,
bmi_cat,4,,8,164,0.04878048780487805,,low,
bmi_cat,4,,48,164,0.2926829268292683,,normal,
bmi_cat,4,,48,164,0.2926829268292683,,obesity,
bmi_cat,4,,60,164,0.36585365853658536,,overweight,
bmi_cat,5,,1,10,0.1,,low,
bmi_cat,5,,1,10,0.1,,normal,
bmi_cat,5,,2,10,0.2,,obesity,
bmi_cat,5,,6,10,0.6,,overweight,
bp_cat,0,,4,15,0.26666666666666666,,,high
bp_cat,0,,11,15,0.7333333333333333,,,normal
bp_cat,1,,50,150,0.3333333333333333,,,high
bp_cat,1,,100,150,0.6666666666666666,,,normal
bp_cat,2,,53,172,0.3081395348837209,,,high
bp_cat,2,,119,172,0.6918604651162791,,,normal
bp_cat,3,,7,19,0.3684210526315789,,,high
bp_cat,3,,12,19,0.631578947368421,,,normal
bp_cat,4,,44,164,0.2682926829268293,,,high
bp_cat,4,,120,164,0.7317073170731707,,,normal
bp_cat,5,,3,10,0.3,,,high
bp_cat,5,,7,10,0.7,,,normal
