variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,309.7610907343478,7.976128758269654e-65,0.5816051349892134,1.196419313740448e-63
t2m_pre_mean_hr,continuous,kruskal,303.4283407712623,1.8346902338111685e-63,0.5706086821630254,9.173451169055842e-63
t2m_pre_sdnn,continuous,kruskal,304.7787042888825,9.401751971214281e-64,0.5843639459822272,7.051313978410711e-63
t2m_pre_rmssd,continuous,kruskal,282.25170281309204,6.534358280325357e-59,0.5373095015757597,2.450384355122009e-58
t2m_pre_hf,continuous,kruskal,187.5477132611915,1.3060091451744093e-38,0.3483734985900601,3.918027435523228e-38
t2m_pre_lf,continuous,kruskal,164.44672905242922,1.1158392350122604e-33,0.3042876508634145,2.7895980875306507e-33
t2m_pre_vlf,continuous,kruskal,126.47855714877585,1.3293346413656488e-25,0.23182930753583178,2.848574231497819e-25
age,continuous,kruskal,8.654252737425322,0.12367530798613142,0.0069737647660788596,0.18174127599070056
weight_kg,continuous,kruskal,8.775439378300298,0.11836338607114491,0.007205036981489119,0.18174127599070056
height_m_final,continuous,kruskal,5.466496871222568,0.3616336083492125,0.0008902612046232216,0.4172695480952452
imc_final,continuous,kruskal,2.0218679085217115,0.8461109959323622,0.0,0.8461109959323622
bp_systolic,continuous,kruskal,4.067309004062984,0.5397664057724377,0.0,0.5783211490418976
bp_diastolic,continuous,kruskal,13.451092480423263,0.019499029472512714,0.01612803908477722,0.03656068026096134
bp_pam,continuous,kruskal,8.446659158434874,0.13327693572651372,0.006577593813807013,0.18174127599070056
bp_pp,continuous,kruskal,7.1768760749937766,0.20781466516699784,0.004154343654568276,0.2597683314587473
