variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,2883.0,0.0723856980987523,0.1774555850520727,869.0,842.0,27.0,850.4698795180723,826.2203389830509,83,59,0.15200996600737984
t2m_pre_mean_rr,0,2,mannwhitneyu,4767.0,0.08395978258675157,0.14867469879518072,869.0,827.5,41.5,850.4698795180723,822.7560000000001,83,100,0.16028685766561662
t2m_pre_mean_rr,0,3,mannwhitneyu,4176.0,0.7883111888619649,-0.023043630834015675,869.0,862.0,7.0,850.4698795180723,858.2718446601941,83,103,0.8712913140053297
t2m_pre_mean_rr,0,4,mannwhitneyu,1862.5,0.32469603234922884,-0.10240963855421686,869.0,898.5,-29.5,850.4698795180723,874.304,83,50,0.4545744452889204
t2m_pre_mean_rr,0,5,mannwhitneyu,3122.5,0.973611354898348,0.00321285140562249,869.0,854.0,15.0,850.4698795180723,869.7866666666666,83,75,0.973611354898348
t2m_pre_mean_rr,0,6,mannwhitneyu,3120.5,0.009960801785095829,0.2532128514056225,869.0,802.5,66.5,850.4698795180723,799.1333333333333,83,60,0.0348628062478354
t2m_pre_mean_rr,1,2,mannwhitneyu,2802.0,0.5989443592000466,-0.05016949152542373,842.0,827.5,14.5,826.2203389830509,822.7560000000001,59,100,0.6987684190667212
t2m_pre_mean_rr,1,3,mannwhitneyu,2452.5,0.04155335982892201,-0.19285831824913607,842.0,862.0,-20.0,826.2203389830509,858.2718446601941,59,103,0.12466007948676604
t2m_pre_mean_rr,1,4,mannwhitneyu,1043.5,0.008757927471033542,-0.2925423728813559,842.0,898.5,-56.5,826.2203389830509,874.304,59,50,0.0348628062478354
t2m_pre_mean_rr,1,5,mannwhitneyu,1783.0,0.054492204162506885,-0.19412429378531074,842.0,854.0,-12.0,826.2203389830509,869.7866666666666,59,75,0.14304203592658057
t2m_pre_mean_rr,1,6,mannwhitneyu,1929.0,0.3995212913940822,0.08983050847457627,842.0,802.5,39.5,826.2203389830509,799.1333333333333,59,60,0.5243716949547329
t2m_pre_mean_rr,2,3,mannwhitneyu,4385.0,0.0676955845036788,-0.14854368932038836,827.5,862.0,-34.5,822.7560000000001,858.2718446601941,100,103,0.15200996600737984
t2m_pre_mean_rr,2,4,mannwhitneyu,1804.0,0.005556407834404148,-0.2784,827.5,898.5,-71.0,822.7560000000001,874.304,100,50,0.029171141130621782
t2m_pre_mean_rr,2,5,mannwhitneyu,3193.5,0.09364879650506783,-0.1484,827.5,854.0,-26.5,822.7560000000001,869.7866666666666,100,75,0.16388539388386872
t2m_pre_mean_rr,2,6,mannwhitneyu,3434.5,0.1260941975981733,0.14483333333333334,827.5,802.5,25.0,822.7560000000001,799.1333333333333,100,60,0.20369062688935688
t2m_pre_mean_rr,3,4,mannwhitneyu,2400.5,0.4984901406320863,-0.06776699029126214,862.0,898.5,-36.5,858.2718446601941,874.304,103,50,0.6157819384278713
t2m_pre_mean_rr,3,5,mannwhitneyu,3934.5,0.8331715471934518,0.018640776699029128,862.0,854.0,8.0,858.2718446601941,869.7866666666666,103,75,0.8748301245531244
t2m_pre_mean_rr,3,6,mannwhitneyu,3929.0,0.003910649095204072,0.2715210355987055,862.0,802.5,59.5,858.2718446601941,799.1333333333333,103,60,0.029171141130621782
t2m_pre_mean_rr,4,5,mannwhitneyu,2092.0,0.27520999522576206,0.11573333333333333,898.5,854.0,44.5,874.304,869.7866666666666,50,75,0.4128149928386431
t2m_pre_mean_rr,4,6,mannwhitneyu,2065.0,0.0007018506427612637,0.37666666666666665,898.5,802.5,96.0,874.304,799.1333333333333,50,60,0.014738863497986537
t2m_pre_mean_rr,5,6,mannwhitneyu,2888.5,0.004725552938721839,0.2837777777777778,854.0,802.5,51.5,869.7866666666666,799.1333333333333,75,60,0.029171141130621782
t2m_pre_mean_hr,0,1,mannwhitneyu,1850.5,0.013309318040041773,-0.2442311619358791,68.0,71.0,-3.0,69.3132530120482,74.28813559322033,83,59,0.03992795412012532
t2m_pre_mean_hr,0,2,mannwhitneyu,3423.0,0.04156999354219507,-0.17518072289156628,68.0,72.0,-4.0,69.3132530120482,72.25,83,100,0.09699665159845518
t2m_pre_mean_hr,0,3,mannwhitneyu,4227.5,0.8985637927870306,-0.010995438062931337,68.0,69.0,-1.0,69.3132530120482,69.87378640776699,83,103,0.8985637927870306
t2m_pre_mean_hr,0,4,mannwhitneyu,2147.5,0.5925606235422775,0.056060978608310795,68.0,67.0,1.0,69.3132530120482,68.95918367346938,83,49,0.6221886547193913
t2m_pre_mean_hr,0,5,mannwhitneyu,2891.0,0.4412495150513033,-0.07116465863453815,68.0,70.0,-2.0,69.3132530120482,70.16,83,75,0.5698911795439815
t2m_pre_mean_hr,0,6,mannwhitneyu,1707.0,0.0013605256708464338,-0.3144578313253012,68.0,74.5,-6.5,69.3132530120482,75.65,83,60,0.009969356725161936
t2m_pre_mean_hr,1,2,mannwhitneyu,3217.0,0.3416788040039317,0.09050847457627119,71.0,72.0,-1.0,74.28813559322033,72.25,59,100,0.47835032560550433
t2m_pre_mean_hr,1,3,mannwhitneyu,3713.0,0.01892083761452135,0.2219845318413691,71.0,69.0,2.0,74.28813559322033,69.87378640776699,59,103,0.04966719873811855
t2m_pre_mean_hr,1,4,mannwhitneyu,1899.5,0.00507184568719643,0.3140781736423383,71.0,67.0,4.0,74.28813559322033,68.95918367346938,59,49,0.02407489662180902
t2m_pre_mean_hr,1,5,mannwhitneyu,2641.5,0.05460152687766316,0.19389830508474576,71.0,70.0,1.0,74.28813559322033,70.16,59,75,0.10758920747692317
t2m_pre_mean_hr,1,6,mannwhitneyu,1631.0,0.4613404786784612,-0.07853107344632769,71.0,74.5,-3.5,74.28813559322033,75.65,59,60,0.5698911795439815
t2m_pre_mean_hr,2,3,mannwhitneyu,5906.0,0.07082875710993103,0.14679611650485436,72.0,69.0,3.0,72.25,69.87378640776699,100,103,0.1239503249423793
t2m_pre_mean_hr,2,4,mannwhitneyu,3103.5,0.008263335145175453,0.266734693877551,72.0,67.0,5.0,72.25,68.95918367346938,100,49,0.028921673008114088
t2m_pre_mean_hr,2,5,mannwhitneyu,4147.5,0.23093466151000597,0.106,72.0,70.0,2.0,72.25,70.16,100,75,0.34640199226500895
t2m_pre_mean_hr,2,6,mannwhitneyu,2458.5,0.05635625153553119,-0.1805,72.0,74.5,-2.5,72.25,75.65,100,60,0.10758920747692317
t2m_pre_mean_hr,3,4,mannwhitneyu,2682.5,0.5318012847577285,0.06300772736278977,69.0,67.0,2.0,69.87378640776699,68.95918367346938,103,49,0.610734114205563
t2m_pre_mean_hr,3,5,mannwhitneyu,3660.5,0.5525689604716999,-0.052297734627831716,69.0,70.0,-1.0,69.87378640776699,70.16,103,75,0.610734114205563
t2m_pre_mean_hr,3,6,mannwhitneyu,2163.0,0.0014241938178802766,-0.3,69.0,74.5,-5.5,69.87378640776699,75.65,103,60,0.009969356725161936
t2m_pre_mean_hr,4,5,mannwhitneyu,1580.5,0.18923566702838213,-0.13986394557823129,67.0,70.0,-3.0,68.95918367346938,70.16,49,75,0.3056883851996942
t2m_pre_mean_hr,4,6,mannwhitneyu,899.5,0.0005099915154468209,-0.3880952380952381,67.0,74.5,-7.5,68.95918367346938,75.65,49,60,0.009969356725161936
t2m_pre_mean_hr,5,6,mannwhitneyu,1626.0,0.005732118243287862,-0.2773333333333333,70.0,74.5,-4.5,70.16,75.65,75,60,0.02407489662180902
t2m_pre_sdnn,0,1,mannwhitneyu,4626.0,4.673322670306875e-22,0.9601694915254237,204.5,10.3,194.2,201.54874999999998,20.835593220338982,80,59,3.271325869214813e-21
t2m_pre_sdnn,0,2,mannwhitneyu,4368.5,0.15031263606001524,0.1259020618556701,204.5,186.0,18.5,201.54874999999998,186.70103092783506,80,97,0.15782826786301601
t2m_pre_sdnn,0,3,mannwhitneyu,5050.5,0.00250444672644503,0.262625,204.5,157.0,47.5,201.54874999999998,158.97899999999998,80,100,0.003287086328459102
t2m_pre_sdnn,0,4,mannwhitneyu,3953.5,9.053854629061596e-21,0.97675,204.5,16.0,188.5,201.54874999999998,18.948,80,50,3.600015786459379e-20
t2m_pre_sdnn,0,5,mannwhitneyu,3658.0,0.011653121875141299,0.23581081081081082,204.5,170.0,34.5,201.54874999999998,165.07567567567568,80,74,0.01439503290458631
t2m_pre_sdnn,0,6,mannwhitneyu,3918.5,3.1440682746521756e-11,0.6603813559322034,204.5,96.0,108.5,201.54874999999998,102.03389830508475,80,59,5.502119480641307e-11
t2m_pre_sdnn,1,2,mannwhitneyu,78.0,2.6635272892798066e-24,-0.9727415691071116,10.3,186.0,-175.7,20.835593220338982,186.70103092783506,59,97,5.593407307487594e-23
t2m_pre_sdnn,1,3,mannwhitneyu,332.0,1.028575938988394e-20,-0.8874576271186441,10.3,157.0,-146.7,20.835593220338982,158.97899999999998,59,100,3.600015786459379e-20
t2m_pre_sdnn,1,4,mannwhitneyu,949.0,0.0013913426076698685,-0.3566101694915254,10.3,16.0,-5.699999999999999,20.835593220338982,18.948,59,50,0.0019478796507378159
t2m_pre_sdnn,1,5,mannwhitneyu,109.0,5.89798064269834e-21,-0.9500687127805771,10.3,170.0,-159.7,20.835593220338982,165.07567567567568,59,74,3.0964398374166286e-20
t2m_pre_sdnn,1,6,mannwhitneyu,162.5,2.0338699864671763e-17,-0.9066360241309969,10.3,96.0,-85.7,20.835593220338982,102.03389830508475,59,59,4.27112697158107e-17
t2m_pre_sdnn,2,3,mannwhitneyu,5756.0,0.023603991343676127,0.1868041237113402,186.0,157.0,29.0,186.70103092783506,158.97899999999998,97,100,0.027537989900955483
t2m_pre_sdnn,2,4,mannwhitneyu,4828.0,8.9019825831152e-23,0.9909278350515464,186.0,16.0,170.0,186.70103092783506,18.948,97,50,9.34708171227096e-22
t2m_pre_sdnn,2,5,mannwhitneyu,4114.0,0.101982812492502,0.14628030091947616,186.0,170.0,16.0,186.70103092783506,165.07567567567568,97,74,0.11271784538644958
t2m_pre_sdnn,2,6,mannwhitneyu,5017.5,3.3332129295020117e-15,0.7534509872444523,186.0,96.0,90.0,186.70103092783506,102.03389830508475,97,59,6.363406501776567e-15
t2m_pre_sdnn,3,4,mannwhitneyu,4660.0,7.323613398892036e-18,0.864,157.0,16.0,141.0,158.97899999999998,18.948,100,50,1.7088431264081416e-17
t2m_pre_sdnn,3,5,mannwhitneyu,3486.0,0.515729888010702,-0.05783783783783784,157.0,170.0,-13.0,158.97899999999998,165.07567567567568,100,74,0.515729888010702
t2m_pre_sdnn,3,6,mannwhitneyu,4573.5,7.169066126822195e-09,0.5503389830508475,157.0,96.0,61.0,158.97899999999998,102.03389830508475,100,59,1.0753599190233293e-08
t2m_pre_sdnn,4,5,mannwhitneyu,69.0,1.1904363649547687e-19,-0.9627027027027028,16.0,170.0,-154.0,18.948,165.07567567567568,50,74,3.571309094864306e-19
t2m_pre_sdnn,4,6,mannwhitneyu,58.5,7.203646359460638e-18,-0.9603389830508474,16.0,96.0,-80.0,18.948,102.03389830508475,50,59,1.7088431264081416e-17
t2m_pre_sdnn,5,6,mannwhitneyu,3591.0,1.8308882216179838e-10,0.6449839670178653,170.0,96.0,74.0,165.07567567567568,102.03389830508475,74,59,2.9575886656905893e-10
t2m_pre_rmssd,0,1,mannwhitneyu,3512.0,5.173786449120227e-08,0.5461149020471054,14.6,9.3,5.299999999999999,16.385714285714283,9.628813559322037,77,59,1.0864951543152477e-07
t2m_pre_rmssd,0,2,mannwhitneyu,3473.5,0.31415132969423865,-0.08867899776990686,14.6,15.6,-1.0,16.385714285714283,18.73939393939394,77,99,0.4398118615719341
t2m_pre_rmssd,0,3,mannwhitneyu,3790.0,0.6908446964003807,-0.034886681945505475,14.6,15.850000000000001,-1.2500000000000018,16.385714285714283,16.647058823529413,77,102,0.7635651907583155
t2m_pre_rmssd,0,4,mannwhitneyu,1984.0,0.7728100019556656,0.03064935064935065,14.6,15.0,-0.40000000000000036,16.385714285714283,14.981999999999998,77,50,0.7874280382756735
t2m_pre_rmssd,0,5,mannwhitneyu,3045.5,0.561602955632075,0.05471861471861472,14.6,15.1,-0.5,16.385714285714283,15.294666666666668,77,75,0.6552034482374208
t2m_pre_rmssd,0,6,mannwhitneyu,3677.5,3.0100451322634515e-09,0.591991341991342,14.6,8.15,6.449999999999999,16.385714285714283,8.958333333333332,77,60,9.030135396790355e-09
t2m_pre_rmssd,1,2,mannwhitneyu,978.5,2.9658430982951864e-12,-0.664954631056326,9.3,15.6,-6.299999999999999,9.628813559322037,18.73939393939394,59,99,2.0760901688066306e-11
t2m_pre_rmssd,1,3,mannwhitneyu,1037.5,4.660342637725516e-12,-0.655201063476238,9.3,15.850000000000001,-6.550000000000001,9.628813559322037,16.647058823529413,59,102,2.4466798848058962e-11
t2m_pre_rmssd,1,4,mannwhitneyu,573.0,4.178068190683248e-08,-0.6115254237288136,9.3,15.0,-5.699999999999999,9.628813559322037,14.981999999999998,59,50,9.748825778260912e-08
t2m_pre_rmssd,1,5,mannwhitneyu,980.0,3.3453673727525394e-08,-0.5570621468926553,9.3,15.1,-5.799999999999999,9.628813559322037,15.294666666666668,59,75,8.781589353475417e-08
t2m_pre_rmssd,1,6,mannwhitneyu,1971.5,0.2852809384350298,0.11384180790960452,9.3,8.15,1.1500000000000004,9.628813559322037,8.958333333333332,59,60,0.42792140765254466
t2m_pre_rmssd,2,3,mannwhitneyu,5346.5,0.4712775450486141,0.058922558922558925,15.6,15.850000000000001,-0.2500000000000018,18.73939393939394,16.647058823529413,99,102,0.5821663791776998
t2m_pre_rmssd,2,4,mannwhitneyu,2808.0,0.18129039763995924,0.13454545454545455,15.6,15.0,0.5999999999999996,18.73939393939394,14.981999999999998,99,50,0.31503045578944405
t2m_pre_rmssd,2,5,mannwhitneyu,4286.0,0.08161176449511347,0.15447811447811446,15.6,15.1,0.5,18.73939393939394,15.294666666666668,99,75,0.15580427767248933
t2m_pre_rmssd,2,6,mannwhitneyu,5094.5,4.424768244816909e-14,0.7153198653198654,15.6,8.15,7.449999999999999,18.73939393939394,8.958333333333332,99,60,9.29201331411551e-13
t2m_pre_rmssd,3,4,mannwhitneyu,2785.5,0.3567059683161311,0.09235294117647058,15.850000000000001,15.0,0.8500000000000014,16.647058823529413,14.981999999999998,102,50,0.4681765834149221
t2m_pre_rmssd,3,5,mannwhitneyu,4262.0,0.19501885358394155,0.1142483660130719,15.850000000000001,15.1,0.7500000000000018,16.647058823529413,15.294666666666668,102,75,0.31503045578944405
t2m_pre_rmssd,3,6,mannwhitneyu,5192.0,1.4336960756739822e-13,0.6967320261437908,15.850000000000001,8.15,7.700000000000001,16.647058823529413,8.958333333333332,102,60,1.5053808794576813e-12
t2m_pre_rmssd,4,5,mannwhitneyu,1929.0,0.7874280382756735,0.0288,15.0,15.1,-0.09999999999999964,14.981999999999998,15.294666666666668,50,75,0.7874280382756735
t2m_pre_rmssd,4,6,mannwhitneyu,2492.5,2.5867957343202796e-09,0.6616666666666666,15.0,8.15,6.85,14.981999999999998,8.958333333333332,50,60,9.030135396790355e-09
t2m_pre_rmssd,5,6,mannwhitneyu,3641.0,7.373413932648122e-10,0.6182222222222222,15.1,8.15,6.949999999999999,15.294666666666668,8.958333333333332,75,60,3.0968338517122117e-09
t2m_pre_hf,0,1,mannwhitneyu,4635.5,1.4087946453321056e-19,0.8931999183173371,844.0,35.0,809.0,1756.012048192771,91.52542372881356,83,59,1.479234377598711e-18
t2m_pre_hf,0,2,mannwhitneyu,7217.5,8.15970730999745e-18,0.7391566265060241,844.0,124.5,719.5,1756.012048192771,270.8,83,100,3.4270770701989296e-17
t2m_pre_hf,0,3,mannwhitneyu,7490.5,1.2535803982686736e-18,0.7523686980933443,844.0,114.0,730.0,1756.012048192771,230.02912621359224,83,103,8.775062787880715e-18
t2m_pre_hf,0,4,mannwhitneyu,3581.5,2.634110120499278e-12,0.7260240963855422,844.0,64.5,779.5,1756.012048192771,223.06,83,50,6.914539066310605e-12
t2m_pre_hf,0,5,mannwhitneyu,5613.5,3.1259644720589182e-18,0.8035341365461848,844.0,88.0,756.0,1756.012048192771,166.57333333333332,83,75,1.641131347830932e-17
t2m_pre_hf,0,6,mannwhitneyu,4918.0,3.065111472788194e-23,0.9751004016064257,844.0,20.5,823.5,1756.012048192771,37.0,83,60,6.436734092855209e-22
t2m_pre_hf,1,2,mannwhitneyu,1330.5,7.806092397906591e-09,-0.5489830508474576,35.0,124.5,-89.5,91.52542372881356,270.8,59,100,1.6392794035603843e-08
t2m_pre_hf,1,3,mannwhitneyu,1687.0,2.569548776838389e-06,-0.444791838077999,35.0,114.0,-79.0,91.52542372881356,230.02912621359224,59,103,4.905502210327833e-06
t2m_pre_hf,1,4,mannwhitneyu,1159.0,0.05498194429401993,-0.21423728813559323,35.0,64.5,-29.5,91.52542372881356,223.06,59,50,0.07216380188590116
t2m_pre_hf,1,5,mannwhitneyu,1289.5,3.548719194716286e-05,-0.41717514124293786,35.0,88.0,-53.0,91.52542372881356,166.57333333333332,59,75,6.210258590753501e-05
t2m_pre_hf,1,6,mannwhitneyu,2201.5,0.021940989278280466,0.24378531073446327,35.0,20.5,14.5,91.52542372881356,37.0,59,60,0.0329114839174207
t2m_pre_hf,2,3,mannwhitneyu,5565.5,0.32130663910588975,0.08067961165048544,124.5,114.0,10.5,270.8,230.02912621359224,100,103,0.35512839059072027
t2m_pre_hf,2,4,mannwhitneyu,3010.5,0.04202343115250748,0.2042,124.5,64.5,60.0,270.8,223.06,100,50,0.05883280361351047
