variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,17.30638303303369,3.1811648203214144e-05,0.3400053265988358,142,0.00013360892245349942
sex,0,2,chi2,0.0423425520262868,0.8369681862294978,0.0,183,0.8369681862294978
sex,0,3,chi2,0.40826175844173856,0.5228530891641527,0.0,186,0.6099952706915116
sex,0,4,chi2,25.153984363926295,5.293018312736904e-07,0.4277123298597554,133,5.557669228373749e-06
sex,0,5,chi2,1.6654344395124365,0.19687117125656542,0.06479225753107076,158,0.29530675688484814
sex,0,6,chi2,2.9446316809293247,0.08616333935994511,0.11681469386201498,143,0.13918693281221903
sex,1,2,chi2,22.418326271186437,2.192717588647953e-06,0.3681363852475739,159,1.5349023120535673e-05
sex,1,3,chi2,13.485284710872131,0.0002404416523209276,0.2784111417115081,162,0.000790185533364221
sex,1,4,chi2,0.6994968514595094,0.40295281109984904,0.0,109,0.49776523724099
sex,1,5,chi2,7.509110169491526,0.006138769177793259,0.22110384290580395,134,0.014323794748184272
sex,1,6,chi2,4.468088967645475,0.03453359545260559,0.17123338403464325,119,0.06592777313679249
sex,2,3,chi2,1.221977451808077,0.26897292514906346,0.03277830389474115,203,0.37567320871294163
sex,2,4,chi2,31.373762376237625,2.128377662798449e-08,0.4514586267027108,150,4.469593091876743e-07
sex,2,5,chi2,3.085623271744595,0.07898699800947813,0.10933300510098286,175,0.13822724651658674
sex,2,6,chi2,4.746209624258404,0.02936290361330517,0.1533702769816739,160,0.06166209758794086
sex,3,4,chi2,21.05959831693919,4.452170237642201e-06,0.3632264712643066,153,2.3373893747621556e-05
sex,3,5,chi2,0.3413235441755196,0.5590662416573168,0.0,178,0.617915319726508
sex,3,6,chi2,1.1372828561241852,0.2862272066384317,0.028449111229318584,163,0.37567320871294163
sex,4,5,chi2,13.31426056338028,0.00026339517778807363,0.31503963460643036,125,0.000790185533364221
sex,4,6,chi2,9.096457780725022,0.0025610500416715005,0.2723995348270481,110,0.006722756359387689
