cluster,n,fraction
0,83,0.15660377358490565
1,59,0.11132075471698114
2,100,0.18867924528301888
3,103,0.19433962264150945
4,50,0.09433962264150944
5,75,0.14150943396226415
6,60,0.11320754716981132
