variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,28.231424730119407,0.00043218724890895004,0.03883190927086259,0.00043218724890895004
t2m_pre_mean_hr,continuous,kruskal,31.572602075156272,0.00011106860661667885,0.04533192706760822,0.0001190020785178702
t2m_pre_sdnn,continuous,kruskal,285.76939780432946,4.3844944494686266e-57,0.5446458780477048,6.57674167420294e-56
t2m_pre_rmssd,continuous,kruskal,120.70881223016663,2.3667381708685995e-22,0.2197052869983755,3.227370233002636e-22
t2m_pre_hf,continuous,kruskal,193.84155481823538,1.2660512342947355e-37,0.3567016407259796,3.798153702884207e-37
t2m_pre_lf,continuous,kruskal,249.56419794071107,2.131135281105927e-49,0.4636548904812113,1.0655676405529635e-48
t2m_pre_vlf,continuous,kruskal,192.62242564872864,2.2858495305716357e-37,0.35436166151387455,5.7146238264290886e-37
age,continuous,kruskal,67.881796790265,1.2959619458967148e-11,0.11493627023083493,1.6199524323708935e-11
weight_kg,continuous,kruskal,187.06261293580138,3.377475815989777e-36,0.34369023596123105,7.237448177120951e-36
height_m_final,continuous,kruskal,43.057066221479396,8.569577235058127e-07,0.06728803497404874,9.887973732759376e-07
imc_final,continuous,kruskal,172.55200830298062,3.762817094156425e-33,0.3158387875297133,7.055282051543297e-33
bp_systolic,continuous,kruskal,262.0204985994835,4.8609202315795335e-52,0.4875633370431545,3.6456901736846504e-51
bp_diastolic,continuous,kruskal,168.85487896630156,2.2410405508043628e-32,0.3087425699929013,3.735067584673938e-32
bp_pam,continuous,kruskal,248.21187276947455,4.123280106423963e-49,0.46105925675522946,1.546230039908986e-48
bp_pp,continuous,kruskal,153.1742186383554,4.266549035911824e-29,0.2786453332789931,6.399823553867736e-29
