cluster,n,fraction
0,37,0.06981132075471698
1,101,0.19056603773584907
2,62,0.1169811320754717
3,58,0.10943396226415095
4,48,0.09056603773584905
5,71,0.1339622641509434
6,61,0.11509433962264151
7,41,0.07735849056603773
8,51,0.09622641509433963
