variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,7.4670652120892544,0.1131703774091317,0.0066039337373128655,0.1131703774091317
t2m_pre_mean_hr,continuous,kruskal,10.696364488528703,0.03019696872190403,0.012779321542993707,0.03235389505918289
t2m_pre_sdnn,continuous,kruskal,270.13699139039625,2.980267343954248e-57,0.5177762478412379,4.4704010159313725e-56
t2m_pre_rmssd,continuous,kruskal,62.61737580943387,8.168248252022003e-13,0.11337983715557808,1.113852034366637e-12
t2m_pre_hf,continuous,kruskal,181.31883826192842,3.8841110615668383e-38,0.3377501681179589,9.710277653917094e-38
t2m_pre_lf,continuous,kruskal,221.69658394613177,8.087751969619403e-47,0.41466015989739385,6.065813977214552e-46
t2m_pre_vlf,continuous,kruskal,182.0674051652991,2.682329929492336e-38,0.33917600983866497,8.046989788477009e-38
age,continuous,kruskal,14.020286378877675,0.007230590647362042,0.01908625976929081,0.008342989208494663
weight_kg,continuous,kruskal,98.8474323169694,1.7305639265469805e-20,0.18066177584184648,2.5958458898204708e-20
height_m_final,continuous,kruskal,28.22838761041431,1.1211623382509241e-05,0.04614930973412249,1.4014529228136551e-05
imc_final,continuous,kruskal,141.22144274376893,1.5457220192008605e-29,0.26137417665479795,3.3122614697161296e-29
bp_systolic,continuous,kruskal,216.40511719349223,1.1129065220562142e-45,0.40458117560665185,5.564532610281071e-45
bp_diastolic,continuous,kruskal,123.10762914958413,1.1581686059228674e-25,0.22687167457063642,2.1715661361053767e-25
bp_pam,continuous,kruskal,208.32268452479786,6.097614280494411e-44,0.38918606576151976,2.286605355185404e-43
bp_pp,continuous,kruskal,101.66532741215424,4.3476860924834796e-21,0.18602919507076998,7.246143487472467e-21
