cluster,n,fraction
0,31,0.09872611464968153
1,55,0.1751592356687898
2,37,0.1178343949044586
3,55,0.1751592356687898
4,43,0.13694267515923567
5,38,0.12101910828025478
6,29,0.09235668789808917
7,26,0.08280254777070063
