variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,27.71125930284353,0.0005323823719242499,0.03783351113789545,0.0005323823719242499
t2m_pre_mean_hr,continuous,kruskal,33.28820898621792,5.464199366219154e-05,0.04863117112734215,5.854499320949093e-05
t2m_pre_sdnn,continuous,kruskal,299.45219973350413,5.385831533519666e-60,0.5714749014382434,8.078747300279498e-59
t2m_pre_rmssd,continuous,kruskal,117.77932088034609,9.523944735811489e-22,0.2139947775445343,1.2987197367015668e-21
t2m_pre_hf,continuous,kruskal,218.3542923524307,8.574309163353071e-43,0.4037510409835522,2.1435772908382677e-42
t2m_pre_lf,continuous,kruskal,288.9735010884527,9.132347823626106e-58,0.5392965471947269,6.84926086771958e-57
t2m_pre_vlf,continuous,kruskal,242.07957805134322,8.213505973736653e-48,0.44928901737301963,2.464051792120996e-47
age,continuous,kruskal,61.10280900677424,2.8309541493726474e-10,0.10192477736424997,3.266485556968439e-10
weight_kg,continuous,kruskal,140.53907839793249,1.8329318188682704e-26,0.25439362456416986,3.0548863647804506e-26
height_m_final,continuous,kruskal,69.6282794565768,5.827160694747329e-12,0.11828844425446604,7.28395086843416e-12
imc_final,continuous,kruskal,133.4683087597421,5.398630074830035e-25,0.2408220897499848,8.097945112245053e-25
bp_systolic,continuous,kruskal,271.0414412649521,5.91035479744057e-54,0.5048780062667027,2.9551773987202847e-53
bp_diastolic,continuous,kruskal,176.88956974458043,4.630158240886029e-34,0.32416424135236166,9.921767659041492e-34
bp_pam,continuous,kruskal,258.0885934655707,3.31874678614071e-51,0.4800164941757595,1.2445300448027664e-50
bp_pp,continuous,kruskal,153.86089582778828,3.067026725837839e-29,0.2799633317232021,5.750675110945949e-29
