cluster,n,fraction
0,63,0.11886792452830189
1,57,0.10754716981132076
2,60,0.11320754716981132
3,65,0.12264150943396226
4,52,0.09811320754716982
5,73,0.13773584905660377
6,52,0.09811320754716982
7,54,0.1018867924528302
8,54,0.1018867924528302
