variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,0.7730848099269148,0.3792644302468161,0.0,204,0.4424751686212855
sex,0,2,chi2,6.218896301210542,0.012639388062116109,0.18163769751437872,159,0.02949190547827092
sex,0,3,chi2,19.775279096650067,8.710198343049327e-06,0.3446673488325058,159,4.5728541301008973e-05
sex,0,4,chi2,0.2965177552296412,0.5860737561540974,0.0,167,0.6153774439618023
sex,0,5,chi2,4.023603504630289,0.0448677509919633,0.12807644354327935,185,0.08565661553011175
sex,0,6,chi2,0.9481399805875393,0.33019320155119947,0.0,181,0.4078857195632464
sex,1,2,chi2,11.141579402740117,0.0008441398740441401,0.25822571653048515,153,0.0025324196221324204
sex,1,3,chi2,27.464879970301936,1.599732777277521e-07,0.41722332666153494,153,1.6797194161413972e-06
sex,1,4,chi2,2.081190246521568,0.1491238554225529,0.08196730438165728,161,0.20877339759157407
sex,1,5,chi2,1.067273105036164,0.3015622000785164,0.018611503255186887,179,0.3958003876030528
sex,1,6,chi2,1.1169278158776575e-06,0.9991567574090681,0.0,175,0.9991567574090681
sex,2,3,chi2,2.4380952380952383,0.11841994270812403,0.11555935672325271,108,0.19129375360543113
sex,2,4,chi2,2.4661328390376456,0.11632380882913061,0.11258030557503076,116,0.19129375360543113
sex,2,5,chi2,17.4810909931524,2.9017949120992994e-05,0.3519494958842389,134,0.00012187538630817059
sex,2,6,chi2,10.678439821523575,0.0010839144123239812,0.2738084694513699,130,0.002845275332350451
sex,3,4,chi2,11.143262242031579,0.000843374423727039,0.29687258233913916,116,0.0025324196221324204
sex,3,5,chi2,35.220633590834055,2.9438788988386467e-09,0.5072041087089874,134,6.182145687561158e-08
sex,3,6,chi2,25.5008325211176,4.4219207009108845e-07,0.43575251246187574,130,3.0953444906376194e-06
sex,4,5,chi2,5.955228707614769,0.014673699120775659,0.18733641392043224,142,0.030814768153628883
sex,4,6,chi2,2.243149766956689,0.13420735237262518,0.09498045691012694,138,0.2013110285589378
sex,5,6,chi2,0.6020728089755645,0.4377882466731796,0.0,156,0.4838712200071985
age_group,0,1,chi2,2.8886904962544557,0.4091072013788334,0.0,204,0.4295625614477751
age_group,0,2,chi2,4.132721161465122,0.24748468677803256,0.08395969629381803,159,0.2735357064388781
age_group,0,3,chi2,13.029020103976551,0.0045742662425407804,0.2517085133187473,159,0.010673287899261821
age_group,0,4,chi2,12.694991670779148,0.005344853611068278,0.2414473247852557,167,0.011224192583243383
age_group,0,5,chi2,27.07617927819644,5.6747803668389815e-06,0.36161312503659787,185,3.972346256787287e-05
age_group,0,6,chi2,7.474714065641511,0.05821172765161099,0.15737755376583393,181,0.0873175914774165
age_group,1,2,chi2,5.35045400361606,0.06889118819527529,0.14817842555984842,153,0.0964476634733854
age_group,1,3,chi2,17.404449232937605,0.0005834881017272717,0.3076367370864807,153,0.002042208356045451
age_group,1,4,chi2,14.191713929531744,0.002655477887298668,0.26426076598793113,161,0.006970629454159004
age_group,1,5,chi2,29.78507383105015,1.5314457713693584e-06,0.38779892257888204,179,1.6080180599378265e-05
age_group,1,6,chi2,8.64962887989204,0.03433087221104348,0.17991973851477297,175,0.06007902636932609
age_group,2,3,chi2,20.85185185185185,0.0001130035414140564,0.4081571463634394,108,0.0004746148739390369
age_group,2,4,chi2,21.59073270591852,7.935590953301496e-05,0.4018008333088149,116,0.00041661852504832855
age_group,2,5,chi2,34.57332429230578,1.4992209780132032e-07,0.4870700466824124,134,3.1483640538277267e-06
age_group,2,6,chi2,15.774611379639573,0.0012612415397279808,0.31441001563420345,130,0.0037837246191839424
age_group,3,4,chi2,3.76923355417979,0.15188725495364053,0.1234283712115009,116,0.18762543258979122
age_group,3,5,chi2,9.834230831708902,0.00732021620052343,0.24247525724104613,134,0.013974958200999275
age_group,3,6,chi2,6.610209902477272,0.0854159714351979,0.1667558594828051,130,0.11210846250869724
age_group,4,5,chi2,3.120319561842335,0.21010249814797582,0.08857383846345013,142,0.24511958117263846
age_group,4,6,chi2,2.5955638439259734,0.4582677931672142,0.0,138,0.4582677931672142
age_group,5,6,chi2,7.762633772724672,0.05118072614769927,0.17493734128387617,156,0.08267655762320651
bmi_cat,0,1,chi2,1.2686259771974056,0.7365962836191313,0.0,204,0.7365962836191313
bmi_cat,0,2,chi2,5.527011396128451,0.13703193342919123,0.12599288014878907,159,0.17940231667259782
bmi_cat,0,3,chi2,7.4159398122728595,0.059758114038933455,0.1668230436926105,159,0.08963717105840019
bmi_cat,0,4,chi2,61.00697452364146,3.581665898913747e-13,0.5910528013071457,167,3.760749193859434e-12
bmi_cat,0,5,chi2,24.47001077791579,1.9926507710278653e-05,0.3414669450866534,185,6.974277698597529e-05
bmi_cat,0,6,chi2,13.402450625956249,0.0038423915929609695,0.24020945163742002,181,0.008069022345218037
bmi_cat,1,2,chi2,6.390979031903035,0.094062614434089,0.14893013445172973,153,0.1316876602077246
bmi_cat,1,3,chi2,5.39219795356159,0.14523044683019823,0.12493587307895472,153,0.17940231667259782
bmi_cat,1,4,chi2,68.41381071529074,9.329451269232636e-15,0.6393239364244407,161,1.9591847665388537e-13
bmi_cat,1,5,chi2,26.471368408177508,7.598142817558458e-06,0.3630028845231537,179,3.191219983374553e-05
bmi_cat,1,6,chi2,17.63726407917251,0.0005224910113560118,0.28987220338423497,175,0.0012191456931640275
bmi_cat,2,3,chi2,2.231397459165154,0.5257905569616663,0.0,108,0.5520800848097497
bmi_cat,2,4,chi2,31.476833471188307,6.745604157442668e-07,0.4974097948593085,116,3.541442182657401e-06
bmi_cat,2,5,chi2,9.34141050091486,0.02507973461614513,0.2179744647654461,134,0.04787949335809525
bmi_cat,2,6,chi2,3.248755102517414,0.35483889959486986,0.04181102189576255,130,0.3921903627101193
bmi_cat,3,4,chi2,40.63046429810217,7.832354505897008e-09,0.5718560246576199,116,5.4826481541279056e-08
bmi_cat,3,5,chi2,8.679996147510494,0.03386242744575189,0.2062511718397827,134,0.059259248030065804
bmi_cat,3,6,chi2,7.865899843397935,0.04886599549612685,0.19375792164301073,130,0.07893737733989721
bmi_cat,4,5,chi2,23.29001061364479,3.51346374897183e-05,0.37915315840882036,142,0.0001054039124691549
bmi_cat,4,6,chi2,21.349965689203334,8.904843032830898e-05,0.365771302231414,138,0.00023375212961181108
bmi_cat,5,6,chi2,4.948039817854496,0.1756417039123287,0.11155109521410722,156,0.20491532123105016
bp_cat,0,1,chi2,74.32399816399816,6.629270678668132e-18,0.600987903041568,204,1.3921468425203078e-16
bp_cat,0,2,chi2,3.2040100003752485,0.07345795295791403,0.11794036585758726,159,0.09641356325726218
bp_cat,0,3,chi2,10.139634712580683,0.0014511491720923951,0.2404330411850757,159,0.0025496440790839887
bp_cat,0,4,chi2,46.100640417880975,1.1233172934883981e-11,0.5212141343164273,167,7.863221054418787e-11
bp_cat,0,5,chi2,0.004986383529261497,0.9437047056000089,0.0,185,0.9908899408800094
bp_cat,0,6,chi2,13.002836485529496,0.0003110194859746639,0.25817361974552605,181,0.0007257121339408825
bp_cat,1,2,chi2,30.504868188032063,3.330297665939473e-08,0.4405406819814352,153,1.398725019694579e-07
bp_cat,1,3,chi2,19.67841026000748,9.163077697865901e-06,0.35049438309246544,153,2.7489233093597704e-05
bp_cat,1,4,chi2,1.2927266449763257,0.2555460721479881,0.04231487887754553,161,0.2981370841726528
bp_cat,1,5,chi2,64.98444810569835,7.549151689413242e-16,0.5995356324311581,179,7.926609273883905e-15
bp_cat,1,6,chi2,22.98320737190278,1.6342268658199121e-06,0.3554031721695022,175,5.719794030369693e-06
bp_cat,2,3,chi2,0.8327710843373494,0.3614724630908256,0.0,108,0.3995221960477546
bp_cat,2,4,chi2,15.929675063523316,6.57398929334582e-05,0.36021862609153266,116,0.00017256721895032777
bp_cat,2,5,chi2,3.725158989521735,0.05359852495041557,0.1429494320308939,134,0.07503793493058179
bp_cat,2,6,chi2,1.3309851078589334,0.2486300416826454,0.0500583066966821,130,0.2981370841726528
bp_cat,3,4,chi2,8.542238152130622,0.0034699869765190614,0.2559570647942244,116,0.005204980464778592
bp_cat,3,5,chi2,10.132294306367774,0.0014569394737622792,0.26193742269332265,134,0.0025496440790839887
bp_cat,3,6,chi2,0.0,1.0,0.0,130,1.0
bp_cat,4,5,chi2,41.0599334875079,1.476319282583498e-10,0.5329887363211364,142,7.750676233563365e-10
bp_cat,4,6,chi2,9.549993049970709,0.001999501745039192,0.24971734317763147,138,0.0032299643573710027
bp_cat,5,6,chi2,12.487902896776824,0.0004095957361294549,0.272170833446761,156,0.0008601510458718553
