cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,797.0,75.0,117.0,10.5,37.0,52.0,15.0,71.0,70.5,1.58,28.303850156087407,121.0,72.0,88.33333333333333,47.0
1,872.0,68.0,162.0,15.850000000000001,116.0,110.0,28.0,73.0,70.0,1.56,28.444444444444443,147.0,81.0,102.66666666666669,67.0
2,836.0,71.5,10.149999999999999,9.15,33.5,49.0,17.0,73.0,69.8,1.5550000000000002,29.27638696158489,122.0,72.0,88.5,50.0
3,905.5,66.0,15.55,14.7,81.0,91.0,25.5,69.0,71.5,1.57,28.21700490578397,130.5,80.5,98.0,48.0
4,835.0,72.0,153.0,13.6,63.5,114.5,34.0,69.0,93.55000000000001,1.6150000000000002,37.16437154060819,139.0,83.0,102.33333333333334,52.5
5,880.0,68.0,207.5,18.8,194.0,201.0,47.0,67.0,71.0,1.53,31.509094853689447,121.5,76.0,90.83333333333334,46.0
6,852.0,69.5,194.0,14.0,877.0,1510.0,295.0,70.0,73.95,1.5,30.985243055555557,127.0,76.0,93.33333333333331,49.0
