cluster,n,fraction
0,105,0.19811320754716982
1,99,0.18679245283018867
2,54,0.1018867924528302
3,54,0.1018867924528302
4,62,0.1169811320754717
5,80,0.1509433962264151
6,76,0.14339622641509434
