t2m_pre_mean_rr,t2m_pre_mean_hr,mean_hr_from_rr,mean_hr_rr_diff
100.0,60.0,600.0,540.0
1036.0,104.0,57.915057915057915,46.084942084942085
1014.0,56.0,59.171597633136095,3.171597633136095
68.0,88.0,882.3529411764706,794.3529411764706
106.0,57.0,566.0377358490566,509.0377358490566
100.0,60.0,600.0,540.0
600.0,10.0,100.0,90.0
106.0,57.0,566.0377358490566,509.0377358490566
105.0,57.0,571.4285714285714,514.4285714285714
85.8,70.0,699.3006993006993,629.3006993006993
749.0,98.0,80.10680907877169,17.89319092122831
113.2,53.0,530.035335689046,477.03533568904595
823.0,77.0,72.90400972053463,4.095990279465369
86.8,69.0,691.2442396313364,622.2442396313364
92.0,65.0,652.1739130434783,587.1739130434783
