variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,67,83,0.8072289156626506,,,
sex,0,2.0,16,83,0.1927710843373494,,,
sex,1,1.0,27,59,0.4576271186440678,,,
sex,1,2.0,32,59,0.5423728813559322,,,
sex,2,1.0,83,100,0.83,,,
sex,2,2.0,17,100,0.17,,,
sex,3,1.0,78,103,0.7572815533980582,,,
sex,3,2.0,25,103,0.24271844660194175,,,
sex,4,1.0,18,50,0.36,,,
sex,4,2.0,32,50,0.64,,,
sex,5,1.0,53,75,0.7066666666666667,,,
sex,5,2.0,22,75,0.29333333333333333,,,
sex,6,1.0,40,60,0.6666666666666666,,,
sex,6,2.0,20,60,0.3333333333333333,,,
age_group,0,,41,83,0.4939759036144578,60-69,,
age_group,0,,38,83,0.4578313253012048,70-79,,
age_group,0,,3,83,0.03614457831325301,80+,,
age_group,0,,1,83,0.012048192771084338,<60,,
age_group,1,,15,59,0.2542372881355932,60-69,,
age_group,1,,31,59,0.5254237288135594,70-79,,
age_group,1,,13,59,0.22033898305084745,80+,,
age_group,2,,63,100,0.63,60-69,,
age_group,2,,33,100,0.33,70-79,,
age_group,2,,1,100,0.01,80+,,
age_group,2,,3,100,0.03,<60,,
age_group,3,,32,103,0.3106796116504854,60-69,,
age_group,3,,59,103,0.5728155339805825,70-79,,
age_group,3,,12,103,0.11650485436893204,80+,,
age_group,4,,21,50,0.42,60-69,,
age_group,4,,24,50,0.48,70-79,,
age_group,4,,5,50,0.1,<60,,
age_group,5,,36,75,0.48,60-69,,
age_group,5,,38,75,0.5066666666666667,70-79,,
age_group,5,,1,75,0.013333333333333334,<60,,
age_group,6,,11,60,0.18333333333333332,60-69,,
age_group,6,,38,60,0.6333333333333333,70-79,,
age_group,6,,11,60,0.18333333333333332,80+,,
bmi_cat,0,,2,83,0.024096385542168676,,low,
bmi_cat,0,,19,83,0.2289156626506024,,normal,
bmi_cat,0,,40,83,0.4819277108433735,,obesity,
bmi_cat,0,,22,83,0.26506024096385544,,overweight,
bmi_cat,1,,3,59,0.05084745762711865,,low,
bmi_cat,1,,14,59,0.23728813559322035,,normal,
bmi_cat,1,,20,59,0.3389830508474576,,obesity,
bmi_cat,1,,22,59,0.3728813559322034,,overweight,
bmi_cat,2,,7,100,0.07,,low,
bmi_cat,2,,52,100,0.52,,normal,
bmi_cat,2,,19,100,0.19,,obesity,
bmi_cat,2,,22,100,0.22,,overweight,
bmi_cat,3,,4,103,0.038834951456310676,,low,
bmi_cat,3,,41,103,0.39805825242718446,,normal,
bmi_cat,3,,21,103,0.20388349514563106,,obesity,
bmi_cat,3,,37,103,0.3592233009708738,,overweight,
bmi_cat,4,,6,50,0.12,,low,
bmi_cat,4,,18,50,0.36,,normal,
bmi_cat,4,,10,50,0.2,,obesity,
bmi_cat,4,,16,50,0.32,,overweight,
bmi_cat,5,,3,75,0.04,,normal,
bmi_cat,5,,60,75,0.8,,obesity,
bmi_cat,5,,12,75,0.16,,overweight,
bmi_cat,6,,1,60,0.016666666666666666,,low,
bmi_cat,6,,14,60,0.23333333333333334,,normal,
bmi_cat,6,,14,60,0.23333333333333334,,obesity,
bmi_cat,6,,31,60,0.5166666666666667,,overweight,
bp_cat,0,,21,83,0.25301204819277107,,,high
bp_cat,0,,62,83,0.7469879518072289,,,normal
bp_cat,1,,12,59,0.2033898305084746,,,high
bp_cat,1,,47,59,0.7966101694915254,,,normal
bp_cat,2,,5,100,0.05,,,high
bp_cat,2,,95,100,0.95,,,normal
bp_cat,3,,72,103,0.6990291262135923,,,high
bp_cat,3,,31,103,0.30097087378640774,,,normal
bp_cat,4,,14,50,0.28,,,high
bp_cat,4,,36,50,0.72,,,normal
bp_cat,5,,31,75,0.41333333333333333,,,high
bp_cat,5,,44,75,0.5866666666666667,,,normal
bp_cat,6,,6,60,0.1,,,high
bp_cat,6,,54,60,0.9,,,normal
