cluster,variable,n,mean,std,median,q1,q3,min,max,iqr
0,t2m_pre_mean_rr,83,850.4698795180723,172.3733424971618,869.0,776.0,971.5,105.0,1097.0,195.5
1,t2m_pre_mean_rr,59,826.2203389830509,124.21520088506716,842.0,738.5,907.5,592.0,1187.0,169.0
2,t2m_pre_mean_rr,100,822.7560000000001,173.83178117207032,827.5,777.75,903.0,85.8,1296.0,125.25
3,t2m_pre_mean_rr,103,858.2718446601941,185.05432133988077,862.0,775.5,977.0,92.0,1203.0,201.5
4,t2m_pre_mean_rr,50,874.304,158.80908954606144,898.5,796.0,976.0,113.2,1079.0,180.0
5,t2m_pre_mean_rr,75,869.7866666666666,111.87629429519562,854.0,793.0,957.5,592.0,1140.0,164.5
6,t2m_pre_mean_rr,60,799.1333333333333,149.95552636367108,802.5,731.5,886.5,68.0,1066.0,155.0
0,t2m_pre_mean_hr,83,69.3132530120482,13.011184410985324,68.0,61.0,76.0,10.0,115.0,15.0
1,t2m_pre_mean_hr,59,74.28813559322033,11.484698737221878,71.0,66.0,81.0,51.0,101.0,15.0
2,t2m_pre_mean_hr,100,72.25,10.877067898133491,72.0,66.0,77.0,46.0,128.0,11.0
3,t2m_pre_mean_hr,103,69.87378640776699,11.304761803953552,69.0,61.0,77.0,50.0,104.0,16.0
4,t2m_pre_mean_hr,49,68.95918367346938,10.977171735913027,67.0,61.0,74.0,53.0,98.0,13.0
5,t2m_pre_mean_hr,75,70.16,9.065884968952027,70.0,62.5,76.0,53.0,101.0,13.5
6,t2m_pre_mean_hr,60,75.65,11.302954466024225,74.5,67.75,82.0,56.0,112.0,14.25
0,t2m_pre_sdnn,80,201.54874999999998,102.71618386991149,204.5,140.0,252.0,17.0,626.0,112.0
1,t2m_pre_sdnn,59,20.835593220338982,29.650572842706477,10.3,8.75,16.7,6.4,159.0,7.949999999999999
2,t2m_pre_sdnn,97,186.70103092783506,82.44773154202676,186.0,139.0,214.0,29.0,610.0,75.0
3,t2m_pre_sdnn,100,158.97899999999998,76.73291511220046,157.0,116.5,208.0,6.8,339.0,91.5
4,t2m_pre_sdnn,50,18.948,18.404239085779412,16.0,12.7,18.7,4.8,130.0,6.0
5,t2m_pre_sdnn,74,165.07567567567568,60.91653128489658,170.0,134.75,202.75,10.0,310.0,68.0
6,t2m_pre_sdnn,59,102.03389830508475,31.7907848834646,96.0,81.5,121.0,39.0,179.0,39.5
0,t2m_pre_rmssd,77,16.385714285714286,9.619835788697422,14.6,11.6,20.6,0.5,59.4,9.000000000000002
1,t2m_pre_rmssd,59,9.628813559322035,3.8293355346658187,9.3,6.4,11.7,3.6,22.2,5.299999999999999
2,t2m_pre_rmssd,99,18.73939393939394,11.907233423100758,15.6,12.05,23.1,3.9,71.6,11.05
3,t2m_pre_rmssd,102,16.647058823529413,7.926490313472593,15.850000000000001,11.75,20.175,4.1,70.0,8.425
4,t2m_pre_rmssd,50,14.982000000000001,4.966898182066994,15.0,12.5,17.8,3.3,23.8,5.300000000000001
5,t2m_pre_rmssd,75,15.294666666666666,8.355139110125547,15.1,11.149999999999999,18.2,1.2,70.0,7.050000000000001
6,t2m_pre_rmssd,60,8.958333333333334,4.168131380971519,8.15,5.8500000000000005,11.625,2.9,26.9,5.7749999999999995
0,t2m_pre_hf,83,1756.012048192771,2549.026818094558,844.0,325.5,1695.0,40.0,13160.0,1369.5
1,t2m_pre_hf,59,91.52542372881356,161.59755844137595,35.0,16.5,61.0,3.0,992.0,44.5
2,t2m_pre_hf,100,270.8,610.8973694161697,124.5,59.75,237.0,19.0,4853.0,177.25
3,t2m_pre_hf,103,230.02912621359224,412.3994460046172,114.0,48.0,229.5,4.0,3110.0,181.5
4,t2m_pre_hf,50,223.06,327.7351724568269,64.5,17.25,325.75,3.0,1582.0,308.5
5,t2m_pre_hf,75,166.57333333333332,242.10055836441268,88.0,51.0,180.0,3.0,1536.0,129.0
6,t2m_pre_hf,60,37.0,44.609036099146046,20.5,10.0,41.0,1.0,242.0,31.0
0,t2m_pre_lf,83,2110.9397590361446,2284.9098202271953,1240.0,624.0,2385.0,147.0,10220.0,1761.0
1,t2m_pre_lf,59,126.23728813559322,202.96868613443726,49.0,25.0,139.5,7.0,1220.0,114.5
2,t2m_pre_lf,100,193.17,144.18401927447235,157.0,95.0,254.5,11.0,719.0,159.5
3,t2m_pre_lf,103,153.0873786407767,157.55690579796797,105.0,57.5,180.5,12.0,900.0,123.0
4,t2m_pre_lf,50,105.74,91.8603220956154,88.5,46.0,110.75,12.0,473.0,64.75
5,t2m_pre_lf,75,188.89333333333335,200.93400646718547,121.0,75.0,228.0,14.0,1080.0,153.0
6,t2m_pre_lf,60,47.983333333333334,40.03409211001851,35.5,19.75,58.0,9.0,183.0,38.25
0,t2m_pre_vlf,83,476.06024096385545,485.19732846160923,275.0,170.0,570.0,40.0,2340.0,400.0
1,t2m_pre_vlf,59,37.644067796610166,63.16610906880266,17.0,7.0,43.5,3.0,379.0,36.5
2,t2m_pre_vlf,100,45.68,38.106411348467155,31.5,20.0,59.5,2.0,208.0,39.5
3,t2m_pre_vlf,103,39.0,37.0471347890553,28.0,15.5,47.0,3.0,195.0,31.5
4,t2m_pre_vlf,50,125.38,280.15840198730723,26.5,11.25,68.75,1.0,1582.0,57.5
5,t2m_pre_vlf,75,47.653333333333336,55.6513017582463,31.0,16.0,60.0,2.0,287.0,44.0
6,t2m_pre_vlf,60,15.783333333333333,14.250889554948653,9.0,6.0,26.0,2.0,72.0,20.0
0,age,83,70.04819277108433,5.593776189654631,69.0,66.0,73.5,57.0,88.0,7.5
1,age,59,73.38983050847457,7.420886063724287,72.0,69.5,78.0,61.0,89.0,8.5
2,age,100,68.03,4.669814955345845,67.0,65.0,71.0,55.0,80.0,6.0
3,age,103,72.6504854368932,6.628383320864539,73.0,67.5,77.0,60.0,89.0,9.5
4,age,50,68.06,6.732225274220787,69.0,64.25,72.75,50.0,79.0,8.5
5,age,75,70.26666666666667,4.598276214424722,70.0,67.0,73.0,59.0,79.0,6.0
6,age,60,74.23333333333333,5.515361188494185,73.0,70.75,77.25,63.0,87.0,6.5
0,weight_kg,83,76.56385542168675,14.426251294701146,75.1,64.5,85.1,50.6,116.0,20.599999999999994
1,weight_kg,59,73.82881355932203,12.666559977813119,70.5,65.35,81.25,48.7,111.0,15.900000000000006
2,weight_kg,100,67.18,8.815562455915188,66.0,61.0,73.4,47.0,89.4,12.400000000000006
3,weight_kg,103,71.34660194174756,11.126745869036192,70.0,65.5,77.2,47.0,114.6,11.700000000000003
4,weight_kg,50,70.268,9.444476627929692,71.0,63.85,75.6,49.0,87.1,11.749999999999993
5,weight_kg,75,93.456,12.93230022807966,92.0,86.0,102.5,66.0,120.0,16.5
6,weight_kg,60,74.515,10.238839728360384,75.0,67.725,81.0,51.0,95.0,13.275000000000006
0,height_m_final,83,1.5325301204819277,0.08372200476393665,1.5,1.5,1.6,1.3,1.7,0.10000000000000009
1,height_m_final,59,1.5618644067796612,0.0811230350438655,1.56,1.495,1.6,1.4,1.74,0.10499999999999998
2,height_m_final,100,1.555,0.07652160188832666,1.56,1.5,1.6,1.3,1.8,0.10000000000000009
3,height_m_final,103,1.5658252427184467,0.07536218784349458,1.56,1.5,1.6,1.4,1.8,0.10000000000000009
4,height_m_final,50,1.5808000000000002,0.10429236769382344,1.57,1.5,1.6549999999999998,1.38,1.8,0.1549999999999998
5,height_m_final,75,1.5864,0.09867555353209255,1.58,1.5,1.68,1.4,1.78,0.17999999999999994
6,height_m_final,60,1.5871666666666668,0.10318802431281411,1.6,1.5175,1.68,1.3,1.8,0.16249999999999987
0,imc_final,83,32.712292294194455,6.113879968123686,31.4795918367347,27.94717416378316,37.77777777777778,19.765625,45.51020408163266,9.830603613994619
1,imc_final,59,30.193083982577694,4.023091645329711,30.35714285714286,27.572833353111037,32.65348595213319,19.0234375,40.79084287200832,5.080652599022152
2,imc_final,100,27.91492133446049,4.1678207114666606,26.717896396982308,24.91214746252126,30.67402742346939,18.359375,40.23668639053254,5.761879960948129
3,imc_final,103,29.073986978494084,3.8957271714787147,28.97264766019829,26.462298245913964,31.093588950731807,19.312952005259696,41.84027016358932,4.631290704817843
4,imc_final,50,28.299878112352935,4.3659623727873615,28.06668618736994,25.36332179930796,30.84287200832465,21.289795918367343,38.53333333333333,5.47955020901669
5,imc_final,75,37.35732797777446,5.724294363082145,37.24277237722509,33.56217078262762,41.46339656017307,27.33061224489796,57.07491082045184,7.901225777545449
6,imc_final,60,29.582588411904453,3.0365051858010728,29.639668367346943,27.88888888888889,31.84245375710197,19.921875,38.46153846153846,3.953564868213082
0,bp_systolic,83,128.710843373494,14.395570220139732,126.0,119.0,136.0,99.0,167.0,17.0
