variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,27,31,0.8709677419354839,,,
sex,0,2.0,4,31,0.12903225806451613,,,
sex,1,1.0,43,55,0.7818181818181819,,,
sex,1,2.0,12,55,0.21818181818181817,,,
sex,2,1.0,28,37,0.7567567567567568,,,
sex,2,2.0,9,37,0.24324324324324326,,,
sex,3,1.0,33,55,0.6,,,
sex,3,2.0,22,55,0.4,,,
sex,4,1.0,37,43,0.8604651162790697,,,
sex,4,2.0,6,43,0.13953488372093023,,,
sex,5,1.0,28,38,0.7368421052631579,,,
sex,5,2.0,10,38,0.2631578947368421,,,
sex,6,1.0,5,29,0.1724137931034483,,,
sex,6,2.0,24,29,0.8275862068965517,,,
sex,7,1.0,12,26,0.46153846153846156,,,
sex,7,2.0,14,26,0.5384615384615384,,,
age_group,0,,13,31,0.41935483870967744,60-69,,
age_group,0,,15,31,0.4838709677419355,70-79,,
age_group,0,,2,31,0.06451612903225806,80+,,
age_group,0,,1,31,0.03225806451612903,<60,,
age_group,1,,29,55,0.5272727272727272,60-69,,
age_group,1,,23,55,0.41818181818181815,70-79,,
age_group,1,,3,55,0.05454545454545454,80+,,
age_group,2,,16,37,0.43243243243243246,60-69,,
age_group,2,,19,37,0.5135135135135135,70-79,,
age_group,2,,2,37,0.05405405405405406,80+,,
age_group,3,,19,55,0.34545454545454546,60-69,,
age_group,3,,31,55,0.5636363636363636,70-79,,
age_group,3,,5,55,0.09090909090909091,80+,,
age_group,4,,23,43,0.5348837209302325,60-69,,
age_group,4,,17,43,0.3953488372093023,70-79,,
age_group,4,,2,43,0.046511627906976744,80+,,
age_group,4,,1,43,0.023255813953488372,<60,,
age_group,5,,22,38,0.5789473684210527,60-69,,
age_group,5,,14,38,0.3684210526315789,70-79,,
age_group,5,,2,38,0.05263157894736842,80+,,
age_group,6,,17,29,0.5862068965517241,60-69,,
age_group,6,,12,29,0.41379310344827586,70-79,,
age_group,7,,5,26,0.19230769230769232,60-69,,
age_group,7,,15,26,0.5769230769230769,70-79,,
age_group,7,,6,26,0.23076923076923078,80+,,
bmi_cat,0,,3,31,0.0967741935483871,,low,
bmi_cat,0,,8,31,0.25806451612903225,,normal,
bmi_cat,0,,12,31,0.3870967741935484,,obesity,
bmi_cat,0,,8,31,0.25806451612903225,,overweight,
bmi_cat,1,,3,55,0.05454545454545454,,low,
bmi_cat,1,,15,55,0.2727272727272727,,normal,
bmi_cat,1,,27,55,0.4909090909090909,,obesity,
bmi_cat,1,,10,55,0.18181818181818182,,overweight,
bmi_cat,2,,15,37,0.40540540540540543,,normal,
bmi_cat,2,,14,37,0.3783783783783784,,obesity,
bmi_cat,2,,8,37,0.21621621621621623,,overweight,
bmi_cat,3,,3,55,0.05454545454545454,,low,
bmi_cat,3,,12,55,0.21818181818181817,,normal,
bmi_cat,3,,22,55,0.4,,obesity,
bmi_cat,3,,18,55,0.32727272727272727,,overweight,
bmi_cat,4,,2,43,0.046511627906976744,,low,
bmi_cat,4,,17,43,0.3953488372093023,,normal,
bmi_cat,4,,15,43,0.3488372093023256,,obesity,
bmi_cat,4,,9,43,0.20930232558139536,,overweight,
bmi_cat,5,,1,38,0.02631578947368421,,low,
bmi_cat,5,,10,38,0.2631578947368421,,normal,
bmi_cat,5,,15,38,0.39473684210526316,,obesity,
bmi_cat,5,,12,38,0.3157894736842105,,overweight,
bmi_cat,6,,3,29,0.10344827586206896,,low,
bmi_cat,6,,6,29,0.20689655172413793,,normal,
bmi_cat,6,,9,29,0.3103448275862069,,obesity,
bmi_cat,6,,11,29,0.3793103448275862,,overweight,
bmi_cat,7,,2,26,0.07692307692307693,,low,
bmi_cat,7,,5,26,0.19230769230769232,,normal,
bmi_cat,7,,7,26,0.2692307692307692,,obesity,
bmi_cat,7,,12,26,0.46153846153846156,,overweight,
bp_cat,0,,13,31,0.41935483870967744,,,high
bp_cat,0,,18,31,0.5806451612903226,,,normal
bp_cat,1,,14,55,0.2545454545454545,,,high
bp_cat,1,,41,55,0.7454545454545455,,,normal
bp_cat,2,,9,37,0.24324324324324326,,,high
bp_cat,2,,28,37,0.7567567567567568,,,normal
bp_cat,3,,20,55,0.36363636363636365,,,high
bp_cat,3,,35,55,0.6363636363636364,,,normal
bp_cat,4,,12,43,0.27906976744186046,,,high
bp_cat,4,,31,43,0.7209302325581395,,,normal
bp_cat,5,,9,38,0.23684210526315788,,,high
bp_cat,5,,29,38,0.7631578947368421,,,normal
bp_cat,6,,7,29,0.2413793103448276,,,high
bp_cat,6,,22,29,0.7586206896551724,,,normal
bp_cat,7,,8,26,0.3076923076923077,,,high
bp_cat,7,,18,26,0.6923076923076923,,,normal
