variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,68.46460433531979,3.016740952265265e-12,0.20086472005006467,6.4644448977112816e-12
t2m_pre_mean_hr,continuous,kruskal,77.61833008587658,4.2101057353738013e-14,0.23153550847828386,1.0525264338434503e-13
t2m_pre_sdnn,continuous,kruskal,263.4395758999537,3.8074329795826766e-53,0.8576574444814505,5.711149469374015e-52
t2m_pre_rmssd,continuous,kruskal,255.34103363868306,2.021016024765557e-51,0.8196073717448286,1.5157620185741677e-50
t2m_pre_hf,continuous,kruskal,211.877935588208,3.488398171225009e-42,0.6695357372163661,1.0465194513675028e-41
t2m_pre_lf,continuous,kruskal,245.90282714170442,2.0629332929554398e-49,0.7807281932735438,1.0314666464777198e-48
t2m_pre_vlf,continuous,kruskal,232.47073163093734,1.481671182038013e-46,0.7368324563102527,5.556266932642549e-46
age,continuous,kruskal,14.526800286286925,0.04256681352692595,0.02459738655649322,0.07981277536298616
weight_kg,continuous,kruskal,8.363826676863482,0.3016074622110306,0.004456949924390464,0.3770093277637882
height_m_final,continuous,kruskal,6.807313997392038,0.44921440183036954,0.0,0.5183243098042726
imc_final,continuous,kruskal,4.324374803185839,0.7417491000000797,0.0,0.7417491000000797
bp_systolic,continuous,kruskal,6.093453646198634,0.5288806839617728,0.0,0.5666578756733279
bp_diastolic,continuous,kruskal,14.135160480719835,0.048828954552318206,0.02331751791084913,0.08138159092053035
bp_pam,continuous,kruskal,10.643189188432986,0.15495792817370221,0.01190584702102283,0.23243689226055333
bp_pp,continuous,kruskal,8.86518405202339,0.262480801794372,0.006095372719030684,0.3579283660832346
