cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf
0,0.9908256880733946,-0.9411764705882353,2.048,0.9254901960784314,0.9395348837209302,4.201086956521739,3.6470588235294117
1,0.23853211009174313,-0.23529411764705882,0.72,-0.2039215686274508,-0.27596899224806204,0.47282608695652173,1.7647058823529411
2,-0.23853211009174313,0.23529411764705882,0.272,0.37647058823529417,-0.05891472868217054,-0.8206521739130435,-0.8705882352941177
3,-1.5229357798165137,1.8823529411764706,-0.96,-1.427450980392157,-1.0635658914728683,-1.2771739130434783,-1.1058823529411765
4,0.7706422018348624,-0.9411764705882353,1.04,1.4117647058823533,0.05891472868217054,0.28804347826086957,0.35294117647058826
5,-1.0091743119266054,1.0588235294117647,-0.272,-1.0745098039215686,1.137984496124031,7.918478260869565,10.282352941176471
6,2.091743119266055,-1.8823529411764706,-2.0464,0.2039215686274508,1.813953488372093,-0.28804347826086957,-0.35294117647058826
7,-2.091743119266055,2.7058823529411766,-2.1952,-1.5215686274509803,-1.0604651162790697,-1.1793478260869565,-0.8941176470588236
