variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,0.535068077084206,0.4644838933015315,0.0,86,0.5418978755184535
sex,0,2,chi2,0.7801586382231545,0.37709262697492296,0.0,68,0.4799360706953565
sex,0,3,chi2,5.6764591322655855,0.017194033607504905,0.23427837007445182,86,0.043766631000921576
sex,0,4,chi2,0.0,1.0,0.0,74,1.0
sex,0,5,chi2,1.1602377461248436,0.28141623944069727,0.04626702289806148,69,0.41471866864944856
sex,0,6,chi2,26.637037184172886,2.454923170829572e-07,0.659062638491824,60,2.644968376727312e-06
sex,0,7,chi2,9.157508589425463,0.0024769957663287327,0.38130995609625284,57,0.008669485182150565
sex,1,2,chi2,0.0007580289270430153,0.978035157888741,0.0,92,1.0
sex,1,3,chi2,3.4481424148606816,0.06332289956946748,0.14959190367384698,110,0.11820274586300596
sex,1,4,chi2,0.540099248296923,0.4623915976532026,0.0,98,0.5418978755184535
sex,1,5,chi2,0.06427511349086266,0.7998622585753081,0.0,93,0.895845729604345
sex,1,6,chi2,26.359717868338564,2.8338946893506913e-07,0.552664407756171,84,2.644968376727312e-06
sex,1,7,chi2,6.904399359381877,0.008598390751796005,0.27140422142360965,81,0.025569884282145457
sex,2,3,chi2,1.7817927152670667,0.18192934533516872,0.09204017257846335,92,0.31837635433654526
sex,2,4,chi2,0.8058147593031314,0.3693605185806673,0.0,80,0.4799360706953565
sex,2,5,chi2,0.0,1.0,0.0,75,1.0
sex,2,6,chi2,19.929170549860203,8.036473026025514e-06,0.5394906947227645,66,5.62553111821786e-05
sex,2,7,chi2,4.538375384163429,0.03314303319868406,0.23838038481209453,63,0.07733374413026281
sex,3,4,chi2,6.796807610993659,0.009132101529337664,0.24425593713548452,98,0.025569884282145457
sex,3,5,chi2,1.3075788419679977,0.2528334874888353,0.05679332633948111,93,0.4119938696788098
sex,3,6,chi2,12.340623946400008,0.0004432068619279965,0.36947081069831766,84,0.002068298688997317
sex,3,7,chi2,0.8673513986013983,0.35168959850359216,0.0,81,0.4799360706953565
sex,4,5,chi2,1.2432105322003584,0.26485320193637774,0.05370598038795076,81,0.4119938696788098
sex,4,6,chi2,30.9627219612785,2.6303226021580725e-08,0.6495348242754826,72,7.364903286042603e-07
sex,4,7,chi2,10.664018518856558,0.0010923980185913197,0.37673910220706563,69,0.004369592074365279
sex,5,6,chi2,18.766932226611154,1.4770607894414242e-05,0.5186792214631065,67,8.271540420871976e-05
sex,5,7,chi2,3.8866396761133606,0.04867171451964166,0.21349287708802844,64,0.09734342903928332
sex,6,7,chi2,4.097781388836422,0.04293952479751379,0.23883665661085626,55,0.09248513033310662
age_group,0,1,chi2,2.474487097509169,0.4799194858294302,0.0,86,0.7082738955104919
age_group,0,2,chi2,1.2613414304181825,0.7383327527093265,0.0,68,0.8269326830344457
age_group,0,3,chi2,2.4706731207081845,0.4806144290964053,0.0,86,0.7082738955104919
age_group,0,4,chi2,0.9826727515212131,0.8054445379548137,0.0,74,0.8352758171383253
