analysis_level,grouping_label,hrv_label,h_stat,p_adj_fdr,epsilon_squared
double,Sex × Age group,SDNN,62.17846850561646,1.1358616181262115e-10,0.1101538598149342
double,Sex × BP category,SDNN,52.71184886186911,1.47834607213716e-10,0.096527861867707
double,Sex × BMI category,SDNN,61.32290673825738,5.74868998670534e-10,0.1063070581961984
double,Age group × BMI category,LF,41.57985254861326,0.0001340202689208,0.0596098490226379
double,Sex × Age group,VLF,24.585870750528088,0.0011733546359963,0.0356734563349867
double,Sex × Age group,LF,24.0893113257304,0.0011733546359963,0.0347203672278894
double,Sex × BP category,VLF,16.22794454165946,0.0035638947220399,0.0251481835392765
double,Sex × BMI category,VLF,22.617239564658664,0.0069538251951921,0.0299180834572005
double,Age group × BMI category,HF,28.74919393521175,0.0086883869424941,0.0345988185871574
double,Age group × BP category,LF,21.689970763565317,0.0096450438205061,0.0299999440985952
double,Age group × BMI category,SDNN,25.1171594329874,0.0204478167993523,0.0281218315398155
double,Sex × BMI category,LF,18.457262261187317,0.023493728304044,0.0219487782781366
double,Sex × Age group,HF,15.60107619214451,0.0281104255485843,0.0184281692747495
single,Age group,LF,19.44497819205601,0.0015482470846118,0.0312642170951635
single,Age group,HF,11.8285742494434,0.0279792370634576,0.016784361690957
triple,Sex × Age group × BP category,SDNN,56.97945123512713,9.413796984358397e-08,0.0947166355546918
triple,Sex × Age group × BMI category,SDNN,63.59605798717602,1.9041269095241122e-07,0.1059744828785812
triple,Sex × BMI category × BP category,SDNN,55.605748442975134,9.863992630708077e-07,0.087914815409224
triple,Sex × Age group × BMI category,LF,40.23817327822417,0.0008196634756625,0.0548915758958664
triple,Sex × Age group × BMI category,VLF,35.51565556778757,0.0028758195340016,0.0450118317317731
triple,Sex × Age group × BP category,VLF,26.84130942190798,0.0096570774634211,0.0332832202013991
triple,Sex × BMI category × BP category,VLF,28.61746252441959,0.0157109820015296,0.0327760602059558
triple,Sex × Age group × BP category,LF,21.715357745560727,0.0387851134456109,0.0231528809200804
triple,Age group × BMI category × BP category,LF,30.85938807749301,0.0406016356439814,0.0353446290932767
