variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,744.0,0.5009202919285409,-0.08823529411764706,868.5,881.5,-13.0,842.8176470588235,851.1208333333334,34,48,0.532849282649663
t2m_pre_mean_rr,0,2,mannwhitneyu,579.0,0.14706222670838184,0.21638655462184875,868.5,824.0,44.5,842.8176470588235,819.2857142857143,34,28,0.17903227599281268
t2m_pre_mean_rr,0,3,mannwhitneyu,820.5,0.8407138517566031,0.02690863579474343,868.5,828.0,40.5,842.8176470588235,855.2553191489362,34,47,0.8407138517566031
t2m_pre_mean_rr,0,4,mannwhitneyu,1545.0,0.0006559797048462401,0.42003676470588236,868.5,763.0,105.5,842.8176470588235,761.609375,34,64,0.0018367431735694722
t2m_pre_mean_rr,0,5,mannwhitneyu,799.0,0.0010921974716609829,0.46875,868.5,726.5,142.0,842.8176470588235,745.53125,34,32,0.0023524253235775016
t2m_pre_mean_rr,0,6,mannwhitneyu,377.5,0.11273620484244036,-0.23427991886409735,868.5,955.0,-86.5,842.8176470588235,930.0,34,29,0.15627398520904337
t2m_pre_mean_rr,0,7,mannwhitneyu,688.0,0.0009027936347316453,0.4989106753812636,868.5,716.0,152.5,842.8176470588235,743.2962962962963,34,27,0.002106518481040506
t2m_pre_mean_rr,1,2,mannwhitneyu,927.0,0.006129259136127272,0.3794642857142857,881.5,824.0,57.5,851.1208333333334,819.2857142857143,48,28,0.012258518272254545
t2m_pre_mean_rr,1,3,mannwhitneyu,1377.5,0.0637987644899308,0.22118794326241134,881.5,828.0,53.5,851.1208333333334,855.2553191489362,48,47,0.09401923187989801
t2m_pre_mean_rr,1,4,mannwhitneyu,2451.0,7.571663281416966e-08,0.595703125,881.5,763.0,118.5,851.1208333333334,761.609375,48,64,1.4486212170328109e-06
t2m_pre_mean_rr,1,5,mannwhitneyu,1223.0,8.046172858859324e-06,0.5924479166666666,881.5,726.5,155.0,851.1208333333334,745.53125,48,32,4.505856800961221e-05
t2m_pre_mean_rr,1,6,mannwhitneyu,546.5,0.11720548890678253,-0.21479885057471265,881.5,955.0,-73.5,851.1208333333334,930.0,48,29,0.15627398520904337
t2m_pre_mean_rr,1,7,mannwhitneyu,1030.0,2.535367195785728e-05,0.5895061728395061,881.5,716.0,165.5,851.1208333333334,743.2962962962963,48,27,0.00010141468783142912
t2m_pre_mean_rr,2,3,mannwhitneyu,518.0,0.12649046458542118,-0.2127659574468085,824.0,828.0,-4.0,819.2857142857143,855.2553191489362,28,47,0.1609878640178088
t2m_pre_mean_rr,2,4,mannwhitneyu,1134.0,0.043860684379113446,0.265625,824.0,763.0,61.0,819.2857142857143,761.609375,28,64,0.0682277312563987
t2m_pre_mean_rr,2,5,mannwhitneyu,593.5,0.031660508553038105,0.3247767857142857,824.0,726.5,97.5,819.2857142857143,745.53125,28,32,0.05214671996970983
t2m_pre_mean_rr,2,6,mannwhitneyu,197.5,0.0008988931141019463,-0.5135467980295566,824.0,955.0,-131.0,819.2857142857143,930.0,28,29,0.002106518481040506
t2m_pre_mean_rr,2,7,mannwhitneyu,525.0,0.013622034813523157,0.3888888888888889,824.0,716.0,108.0,819.2857142857143,743.2962962962963,28,27,0.02542779831857656
t2m_pre_mean_rr,3,4,mannwhitneyu,2238.0,1.1986085198121483e-05,0.488031914893617,828.0,763.0,65.0,855.2553191489362,761.609375,47,64,5.5935064257900256e-05
t2m_pre_mean_rr,3,5,mannwhitneyu,1135.5,0.00013071209881634484,0.5099734042553191,828.0,726.5,101.5,855.2553191489362,745.53125,47,32,0.0004066598629841839
t2m_pre_mean_rr,3,6,mannwhitneyu,460.5,0.01837669117819699,-0.32428466617754953,828.0,955.0,-127.0,855.2553191489362,930.0,47,29,0.03215920956184473
t2m_pre_mean_rr,3,7,mannwhitneyu,982.0,9.746483736481694e-05,0.5476753349093775,828.0,716.0,112.0,855.2553191489362,743.2962962962963,47,27,0.0003411269307768593
t2m_pre_mean_rr,4,5,mannwhitneyu,1108.5,0.5138189511264608,0.08251953125,763.0,726.5,36.5,761.609375,745.53125,64,32,0.532849282649663
