variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,0.0,1.0,0.0,82,1.0
sex,0,2,chi2,0.1264211566979732,0.722171954357528,0.0,62,0.8088325888804313
sex,0,3,chi2,0.4728761011360354,0.4916669946750708,0.0,81,0.6555559929000944
sex,0,4,chi2,3.9193244485294123,0.04773405810662296,0.17318497282264675,98,0.11137946891545358
sex,0,5,chi2,1.713516435986159,0.19052976582105113,0.10364859997727481,66,0.31381373194055484
sex,0,6,chi2,26.50133897897132,2.633555090617543e-07,0.6412166049809614,63,3.686977126864561e-06
sex,0,7,chi2,9.617268784207448,0.0019275618372189014,0.3786597381444111,61,0.006746466430266155
sex,1,2,chi2,0.2013343799058084,0.6536459220756807,0.0,76,0.7625869090882942
sex,1,3,chi2,0.6973431599428939,0.40367787362733765,0.0,95,0.5651490230782726
sex,1,4,chi2,5.335365853658535,0.020896953583124954,0.19743189063887745,112,0.053192245484318064
sex,1,5,chi2,2.26890756302521,0.1319929145486167,0.1261128014856396,80,0.23345592194225126
sex,1,6,chi2,32.15820983157615,1.421148947674566e-08,0.640214242712072,77,3.9792170534887847e-07
sex,1,7,chi2,12.087375821898226,0.0005076437272450735,0.38687739750184746,75,0.002030574908980294
sex,2,3,chi2,0.0,1.0,0.0,75,1.0
sex,2,4,chi2,1.286882281648291,0.25662330236533576,0.055065055541484484,92,0.3781817087489158
sex,2,5,chi2,0.3199827516233764,0.5716180107792522,0.0,60,0.7275138319008665
sex,2,6,chi2,19.10315065681445,1.2384027926981894e-05,0.5683789974821578,57,8.668819548887327e-05
sex,2,7,chi2,5.413579783765359,0.01998070114723925,0.2853382984043767,55,0.053192245484318064
sex,3,4,chi2,1.4569258841713675,0.22741987876434466,0.06380880455736851,111,0.35376425585564725
sex,3,5,chi2,0.2657487804824794,0.6061978893555895,0.0,79,0.7379800392155003
sex,3,6,chi2,23.098011406484467,1.5394983762056997e-06,0.542692115737225,76,1.4368651511253198e-05
sex,3,7,chi2,6.431367571881754,0.011212221599769054,0.2724492103353281,74,0.034882467199281494
sex,4,5,chi2,0.05194805194805195,0.8197075378297882,0.0,96,0.882761963816695
sex,4,6,chi2,15.679098927098948,7.504894106488055e-05,0.399319565017398,93,0.0004202740699633311
sex,4,7,chi2,2.2524460575738336,0.13340338396700072,0.11744919547583692,91,0.23345592194225126
