space_name,n_runs,silhouette_mean,silhouette_max,ch_mean,ch_max,db_mean,db_min,mean_clusters,mean_noise_fraction
hrv_log_scaled,636,0.23495620898895533,0.6966559584484636,128.8708031694767,366.57598943746785,1.1211633838637396,0.408389999982892,14.205974842767295,0.07065681737273051
hrv_raw_scaled,636,0.28814829740754366,0.7326688152925581,90.26898826751865,250.9671384438309,1.0371471942646644,0.26773637871228584,14.814465408805031,0.10876349827934022
integrated_scaled,636,0.06714632771330444,0.3702969419381252,34.23778901701551,187.46947756077884,1.8129449460946339,0.06883390566540276,23.40566037735849,0.12591669633321464
pca_hrv_log_2d,636,0.3200919135509696,0.777184132983529,307.07521715972314,651.8619758832625,0.7909138429865729,0.2513615028793178,12.133647798742139,0.09656758039634508
pca_hrv_log_3d,636,0.2940435302267686,0.8558819638529972,195.89736754816207,736.7940862585087,0.967777242236023,0.2008510959426114,12.751572327044025,0.07229144416755667
pca_hrv_log_4d,636,0.25497076424205406,0.7896432653011486,142.683120430576,562.2644120190497,1.0600519500325607,0.2919422053957929,13.669811320754716,0.07247241011035956
pca_hrv_log_5d,636,0.231593243473646,0.6966559584484635,126.75483083061191,366.5759894374676,1.1397651560313764,0.4083899999828922,14.20125786163522,0.07065681737273051
pca_integrated_2d,636,0.2906888695700921,0.7317798321102791,226.69133436137278,610.6059192743517,0.8347761271851765,0.34699473689814725,12.45125786163522,0.112062418416993
pca_integrated_3d,636,0.2102317521030936,0.8755892430726602,104.83472345697612,259.7716295974685,1.0824413895349239,0.15980692560891752,15.072327044025156,0.11774949566868399
pca_integrated_4d,636,0.14117499233828204,0.4513787675591865,69.80642943035262,141.65983711855762,1.3183203869720401,0.2393261704250934,17.61949685534591,0.12144298089474309
pca_integrated_5d,636,0.10842437960011628,0.4250571663330633,52.77926559200829,176.09016725440648,1.4954698903571566,0.15071642039694153,19.861635220125788,0.11577963688145247
phys_scaled,636,0.1032988391911446,0.4711359103510069,54.78866189791274,153.8583083461014,1.5813796859138036,0.20045807445058622,18.71698113207547,0.11759226296428148
tsne_hrv_log_perp10,636,0.44193581372108126,0.8863800168037415,1071.1395967213498,17027.402385567784,0.7889555562079812,0.061692098900174845,21.91823899371069,0.08122997508009967
tsne_hrv_log_perp20,636,0.43960309954599763,0.9671655297279358,1104.5883153050609,9037.775213356314,0.7521660510939607,0.04456649305230353,21.09748427672956,0.07687492583363
tsne_hrv_log_perp30,636,0.4495412321177662,0.8317586183547974,1143.9155468953356,5496.007031760282,0.7009308885297326,0.1654354354482162,19.507861635220127,0.07917408330366679
tsne_hrv_log_perp40,636,0.43876802851107993,0.9485734105110168,1120.9854757721566,6951.052337667027,0.7019404311584239,0.07313673472864989,18.48427672955975,0.0838376646493414
tsne_integrated_perp10,636,0.3410458044888051,0.8303276300430298,614.8822755866029,10860.664850662704,0.9946861342916021,0.020689269959136895,23.504716981132077,0.1125192832562003
