experiment_id,label_file,algorithm,family,space_name,params_json
15,../../results/clustering_exploration/labels/labels_exp_00015.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 17}"
16,../../results/clustering_exploration/labels/labels_exp_00016.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 18}"
17,../../results/clustering_exploration/labels/labels_exp_00017.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 19}"
18,../../results/clustering_exploration/labels/labels_exp_00018.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 20}"
19,../../results/clustering_exploration/labels/labels_exp_00019.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 21}"
20,../../results/clustering_exploration/labels/labels_exp_00020.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 22}"
21,../../results/clustering_exploration/labels/labels_exp_00021.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 23}"
22,../../results/clustering_exploration/labels/labels_exp_00022.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 24}"
23,../../results/clustering_exploration/labels/labels_exp_00023.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 25}"
24,../../results/clustering_exploration/labels/labels_exp_00024.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 26}"
25,../../results/clustering_exploration/labels/labels_exp_00025.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 27}"
26,../../results/clustering_exploration/labels/labels_exp_00026.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 28}"
27,../../results/clustering_exploration/labels/labels_exp_00027.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 29}"
28,../../results/clustering_exploration/labels/labels_exp_00028.csv,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 30}"
29,../../results/clustering_exploration/labels/labels_exp_00029.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 2}"
