family,n_runs,silhouette_mean,silhouette_max,ch_mean,ch_max,db_mean,db_min,mean_clusters,mean_noise_fraction
centroid-based,2204,0.3526435073704726,0.7843692302703857,1186.7527124321578,10377.421599469088,0.9557780240318154,0.2386374872731366,16.0,0.0
community-graph,912,0.34910738880424036,0.6227512359619141,1156.0187172905958,9597.877162104633,0.9260180184643079,0.5122442018839408,13.712719298245615,0.0
density-based,4864,0.5366839280978386,0.969929575920105,1461.1995668362804,34561.32073868889,0.6072542563910266,0.04253215360019576,5.221628289473684,0.39967958664349557
graph-based,2204,0.30350822229968594,0.7843692302703857,947.9483103998768,9679.892782070996,0.9923712547894592,0.2386374872731366,16.0,0.0
hierarchical-centroid,4560,0.3675288814322644,0.7843692302703857,970.8778304873716,17027.402385567784,0.913887745129648,0.020689269959136895,19.88925438596491,0.0
hierarchical-distance,4408,0.27006693190622494,0.7843692302703857,958.4011742543692,9988.03086020204,0.8428404138262204,0.2386374872731366,16.0,0.0
message-passing,608,0.37368770428519865,0.6209030151367188,1588.3497328611568,12935.947574802753,0.782914309119847,0.0714930179552788,57.71217105263158,0.0
model-based,4408,0.345537559863713,0.7843692302703857,1118.0723584693583,9750.057260811815,0.9778233524808254,0.2386374872731366,15.996597096188747,0.0
