variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,31.962217006247545,1.659198436308988e-05,0.04964095029875248,1.7777126103310587e-05
t2m_pre_mean_hr,continuous,kruskal,35.77897575625166,3.0431261034921326e-06,0.057047846276344176,3.51129935018323e-06
t2m_pre_sdnn,continuous,kruskal,289.475299828756,1.4701826527029632e-59,0.5536626949780391,2.2052739790544447e-58
t2m_pre_rmssd,continuous,kruskal,124.51085475851316,1.836900108725104e-24,0.2301181645796372,3.44418770385957e-24
t2m_pre_hf,continuous,kruskal,208.00643251455563,3.7444813745429495e-42,0.38624556886148304,1.4041805154536062e-41
t2m_pre_lf,continuous,kruskal,264.6086485341557,3.0877701017778164e-54,0.49447160331578527,2.3158275763333623e-53
t2m_pre_vlf,continuous,kruskal,225.1727097083599,8.203956311201958e-46,0.41906827860107054,4.101978155600979e-45
age,continuous,kruskal,48.5823167405952,9.037948062155494e-09,0.08141934367226616,1.1297435077694367e-08
weight_kg,continuous,kruskal,120.68739355941767,1.1686669415480252e-23,0.21928755938703187,1.9477782359133753e-23
height_m_final,continuous,kruskal,30.352459490825304,3.368436151623714e-05,0.04656302005893939,3.368436151623714e-05
imc_final,continuous,kruskal,103.09289481740811,5.673829903803095e-20,0.18564607039657383,8.343642252868182e-20
bp_systolic,continuous,kruskal,195.65178785896154,1.597754508228405e-39,0.3626229213364465,4.7932635246852154e-39
bp_diastolic,continuous,kruskal,102.93595815355098,6.118670985436666e-20,0.18534600029359652,8.343642252868182e-20
bp_pam,continuous,kruskal,166.46950785515202,2.5212708158169738e-33,0.3068250628205583,6.303177039542434e-33
bp_pp,continuous,kruskal,130.24735492953155,1.1400648453939327e-25,0.23756664422472573,2.4429960972727127e-25
