variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,75,105,0.7142857142857143,,,
sex,0,2.0,30,105,0.2857142857142857,,,
sex,1,1.0,77,99,0.7777777777777778,,,
sex,1,2.0,22,99,0.2222222222222222,,,
sex,2,1.0,27,54,0.5,,,
sex,2,2.0,27,54,0.5,,,
sex,3,1.0,18,54,0.3333333333333333,,,
sex,3,2.0,36,54,0.6666666666666666,,,
sex,4,1.0,41,62,0.6612903225806451,,,
sex,4,2.0,21,62,0.3387096774193548,,,
sex,5,1.0,68,80,0.85,,,
sex,5,2.0,12,80,0.15,,,
sex,6,1.0,60,76,0.7894736842105263,,,
sex,6,2.0,16,76,0.21052631578947367,,,
age_group,0,,33,105,0.3142857142857143,60-69,,
age_group,0,,56,105,0.5333333333333333,70-79,,
age_group,0,,14,105,0.13333333333333333,80+,,
age_group,0,,2,105,0.01904761904761905,<60,,
age_group,1,,29,99,0.29292929292929293,60-69,,
age_group,1,,60,99,0.6060606060606061,70-79,,
age_group,1,,10,99,0.10101010101010101,80+,,
age_group,2,,13,54,0.24074074074074073,60-69,,
age_group,2,,28,54,0.5185185185185185,70-79,,
age_group,2,,13,54,0.24074074074074073,80+,,
age_group,3,,23,54,0.42592592592592593,60-69,,
age_group,3,,26,54,0.48148148148148145,70-79,,
age_group,3,,5,54,0.09259259259259259,<60,,
age_group,4,,32,62,0.5161290322580645,60-69,,
age_group,4,,29,62,0.46774193548387094,70-79,,
age_group,4,,1,62,0.016129032258064516,<60,,
age_group,5,,53,80,0.6625,60-69,,
age_group,5,,26,80,0.325,70-79,,
age_group,5,,1,80,0.0125,<60,,
age_group,6,,36,76,0.47368421052631576,60-69,,
age_group,6,,36,76,0.47368421052631576,70-79,,
age_group,6,,3,76,0.039473684210526314,80+,,
age_group,6,,1,76,0.013157894736842105,<60,,
bmi_cat,0,,2,105,0.01904761904761905,,low,
bmi_cat,0,,43,105,0.4095238095238095,,normal,
bmi_cat,0,,20,105,0.19047619047619047,,obesity,
bmi_cat,0,,40,105,0.38095238095238093,,overweight,
bmi_cat,1,,4,99,0.04040404040404041,,low,
bmi_cat,1,,42,99,0.42424242424242425,,normal,
bmi_cat,1,,15,99,0.15151515151515152,,obesity,
bmi_cat,1,,38,99,0.3838383838383838,,overweight,
bmi_cat,2,,3,54,0.05555555555555555,,low,
bmi_cat,2,,14,54,0.25925925925925924,,normal,
bmi_cat,2,,16,54,0.2962962962962963,,obesity,
bmi_cat,2,,21,54,0.3888888888888889,,overweight,
bmi_cat,3,,6,54,0.1111111111111111,,low,
bmi_cat,3,,18,54,0.3333333333333333,,normal,
bmi_cat,3,,13,54,0.24074074074074073,,obesity,
bmi_cat,3,,17,54,0.3148148148148148,,overweight,
bmi_cat,4,,2,62,0.03225806451612903,,normal,
bmi_cat,4,,49,62,0.7903225806451613,,obesity,
bmi_cat,4,,11,62,0.1774193548387097,,overweight,
bmi_cat,5,,6,80,0.075,,low,
bmi_cat,5,,23,80,0.2875,,normal,
bmi_cat,5,,38,80,0.475,,obesity,
bmi_cat,5,,13,80,0.1625,,overweight,
bmi_cat,6,,2,76,0.02631578947368421,,low,
bmi_cat,6,,19,76,0.25,,normal,
bmi_cat,6,,33,76,0.4342105263157895,,obesity,
bmi_cat,6,,22,76,0.2894736842105263,,overweight,
bp_cat,0,,8,105,0.0761904761904762,,,high
bp_cat,0,,97,105,0.9238095238095239,,,normal
bp_cat,1,,66,99,0.6666666666666666,,,high
bp_cat,1,,33,99,0.3333333333333333,,,normal
bp_cat,2,,10,54,0.18518518518518517,,,high
bp_cat,2,,44,54,0.8148148148148148,,,normal
bp_cat,3,,15,54,0.2777777777777778,,,high
bp_cat,3,,39,54,0.7222222222222222,,,normal
bp_cat,4,,35,62,0.5645161290322581,,,high
bp_cat,4,,27,62,0.43548387096774194,,,normal
bp_cat,5,,5,80,0.0625,,,high
bp_cat,5,,75,80,0.9375,,,normal
bp_cat,6,,22,76,0.2894736842105263,,,high
bp_cat,6,,54,76,0.7105263157894737,,,normal
