group_a,group_b,distance,embedding,grouping
1 | 60-69,1 | 70-79,0.9690334796905518,UMAP_HRV,sex__age_group
1 | 60-69,1 | 80+,0.5240623354911804,UMAP_HRV,sex__age_group
1 | 60-69,1 | <60,0.9658768177032471,UMAP_HRV,sex__age_group
1 | 60-69,2 | 60-69,5.65658712387085,UMAP_HRV,sex__age_group
1 | 60-69,2 | 70-79,2.9880564212799072,UMAP_HRV,sex__age_group
1 | 60-69,2 | 80+,4.894367694854736,UMAP_HRV,sex__age_group
1 | 70-79,1 | 80+,0.8306130170822144,UMAP_HRV,sex__age_group
1 | 70-79,1 | <60,0.3939800262451172,UMAP_HRV,sex__age_group
1 | 70-79,2 | 60-69,4.717779636383057,UMAP_HRV,sex__age_group
1 | 70-79,2 | 70-79,2.0238986015319824,UMAP_HRV,sex__age_group
1 | 70-79,2 | 80+,3.925915479660034,UMAP_HRV,sex__age_group
1 | 80+,1 | <60,1.0366368293762207,UMAP_HRV,sex__age_group
1 | 80+,2 | 60-69,5.517509460449219,UMAP_HRV,sex__age_group
1 | 80+,2 | 70-79,2.795501470565796,UMAP_HRV,sex__age_group
1 | 80+,2 | 80+,4.660662651062012,UMAP_HRV,sex__age_group
1 | <60,2 | 60-69,4.709878444671631,UMAP_HRV,sex__age_group
1 | <60,2 | 70-79,2.096689462661743,UMAP_HRV,sex__age_group
1 | <60,2 | 80+,4.013002872467041,UMAP_HRV,sex__age_group
2 | 60-69,2 | 70-79,2.734816551208496,UMAP_HRV,sex__age_group
2 | 60-69,2 | 80+,1.2861295938491821,UMAP_HRV,sex__age_group
2 | 70-79,2 | 80+,1.9164564609527588,UMAP_HRV,sex__age_group
1 | 60-69,1 | 70-79,0.7996898889541626,UMAP_Integrated,sex__age_group
1 | 60-69,1 | 80+,2.1324384212493896,UMAP_Integrated,sex__age_group
1 | 60-69,1 | <60,0.9833483695983887,UMAP_Integrated,sex__age_group
1 | 60-69,2 | 60-69,1.7444274425506592,UMAP_Integrated,sex__age_group
1 | 60-69,2 | 70-79,1.3225666284561157,UMAP_Integrated,sex__age_group
1 | 60-69,2 | 80+,2.6673789024353027,UMAP_Integrated,sex__age_group
1 | 70-79,1 | 80+,1.3363138437271118,UMAP_Integrated,sex__age_group
1 | 70-79,1 | <60,0.22136752307415009,UMAP_Integrated,sex__age_group
1 | 70-79,2 | 60-69,1.0602011680603027,UMAP_Integrated,sex__age_group
1 | 70-79,2 | 70-79,0.5925210118293762,UMAP_Integrated,sex__age_group
1 | 70-79,2 | 80+,1.884469747543335,UMAP_Integrated,sex__age_group
1 | 80+,1 | <60,1.1529086828231812,UMAP_Integrated,sex__age_group
1 | 80+,2 | 60-69,1.0041882991790771,UMAP_Integrated,sex__age_group
1 | 80+,2 | 70-79,0.9956188201904297,UMAP_Integrated,sex__age_group
1 | 80+,2 | 80+,0.5830692052841187,UMAP_Integrated,sex__age_group
