row_var,col_var,spearman_rho,p_value,n
log_t2m_pre_hf,height_m_final,-0.11655256660727846,0.007229872354572597,530
log_t2m_pre_rmssd,bp_pp,0.11350653610064143,0.009445448539730714,522
log_t2m_pre_sdnn,bp_pp,0.09556701954121292,0.02948788315513756,519
log_t2m_pre_vlf,height_m_final,-0.09389497077233482,0.030672361984904556,530
log_t2m_pre_hf,age,-0.08793900110941351,0.04300620702014194,530
log_t2m_pre_rmssd,weight_kg,-0.08505194373149998,0.05212854678672589,522
log_t2m_pre_rmssd,height_m_final,-0.07969735103421069,0.06885033767872471,522
log_t2m_pre_lf,age,-0.07122605327155236,0.10143083816973537,530
log_t2m_pre_sdnn,height_m_final,-0.07029048990935265,0.10972163416033541,519
log_t2m_pre_lf,height_m_final,-0.06894457708455047,0.1128839498336523,530
log_t2m_pre_hf,weight_kg,-0.06385881754084513,0.14205856669061592,530
log_t2m_pre_vlf,age,-0.06176415420573784,0.1556320531317419,530
log_t2m_pre_hf,bp_diastolic,-0.05850670796504961,0.17865829110870102,530
log_t2m_pre_lf,weight_kg,-0.05809676510123584,0.18172640997014528,530
log_t2m_pre_rmssd,bp_systolic,0.05806221566801022,0.18533591128222124,522
log_t2m_pre_rmssd,imc_final,-0.052054155119015726,0.23512829624603732,522
log_t2m_pre_sdnn,bp_systolic,0.05159938407858807,0.24061037390650356,519
log_t2m_pre_vlf,weight_kg,-0.04880379819018248,0.2620480950526625,530
log_t2m_pre_vlf,bp_pp,0.04194564174395834,0.3351434806436946,530
log_t2m_pre_rmssd,bp_diastolic,-0.04114181987032292,0.34818061767876374,522
log_t2m_pre_hf,bp_pam,-0.039521860417004076,0.36384222435575664,530
log_t2m_pre_hf,bp_pp,0.038404604885244,0.3775721870863994,530
log_t2m_pre_rmssd,age,-0.03703247301137541,0.3984715824432318,522
log_t2m_pre_vlf,imc_final,0.02818979648295558,0.5172603365362635,530
log_t2m_pre_sdnn,weight_kg,-0.026647008997849674,0.544710937474296,519
log_t2m_pre_hf,imc_final,0.0184544556402717,0.6716486106895643,530
log_t2m_pre_sdnn,bp_diastolic,-0.01847777993688323,0.6745046368556719,519
log_t2m_pre_sdnn,imc_final,0.014883889137008357,0.7351525298406131,519
log_t2m_pre_lf,bp_pp,0.013684376305966622,0.7532864416637212,530
log_t2m_pre_hf,bp_systolic,-0.011806765629915665,0.7862527127128053,530
log_t2m_pre_sdnn,bp_pam,0.008618705607598516,0.8447057571058967,519
log_t2m_pre_lf,imc_final,-0.00813943464310891,0.8517041240437083,530
log_t2m_pre_lf,bp_diastolic,0.007725902647533555,0.8591578117741495,530
log_t2m_pre_vlf,bp_systolic,0.007688362869277538,0.8598350761872297,530
log_t2m_pre_sdnn,age,-0.0058841690123585646,0.8936172216079676,519
log_t2m_pre_lf,bp_pam,0.005205935174121595,0.9048257924824237,530
log_t2m_pre_rmssd,bp_pam,0.00338849459953348,0.9384384704424752,522
log_t2m_pre_vlf,bp_pam,0.0010240155624673675,0.9812363196646244,530
log_t2m_pre_vlf,bp_diastolic,-0.0007217091045971242,0.9867750589593547,530
log_t2m_pre_lf,bp_systolic,0.000491951842341403,0.990985019989155,530
