sex__age_group,UMAP1,UMAP2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat,sex__age_group__bmi_cat,sex__age_group__bp_cat,sex__bmi_cat__bp_cat,age_group__bmi_cat__bp_cat
,-10.56598,9.715504,115,UMAP_Integrated,bmi_cat__bp_cat,,,,,obesity | normal,,,,
,-12.554052,9.631462,46,UMAP_Integrated,bmi_cat__bp_cat,,,,,overweight | high,,,,
,-11.13052,10.955904,116,UMAP_Integrated,bmi_cat__bp_cat,,,,,overweight | normal,,,,
,10.961963,5.7453322,48,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 60-69 | normal,,,
,10.932885,6.0577154,69,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 60-69 | obesity,,,
,11.152366,5.299558,41,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 60-69 | overweight,,,
,9.112344,4.531124,12,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | low,,,
,10.888595,5.888822,50,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | normal,,,
,10.90519,5.2165217,54,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | obesity,,,
,8.901707,5.4126353,51,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | overweight,,,
,11.05838,4.6502776,12,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 80+ | normal,,,
,11.36916,5.4704623,11,UMAP_HRV,sex__age_group__bmi_cat,,,,,,1 | 80+ | overweight,,,
,6.298051,5.508634,14,UMAP_HRV,sex__age_group__bmi_cat,,,,,,2 | 60-69 | normal,,,
,5.5253963,4.7262297,22,UMAP_HRV,sex__age_group__bmi_cat,,,,,,2 | 60-69 | obesity,,,
,4.8366885,4.287222,18,UMAP_HRV,sex__age_group__bmi_cat,,,,,,2 | 60-69 | overweight,,,
,9.510287,5.6236286,26,UMAP_HRV,sex__age_group__bmi_cat,,,,,,2 | 70-79 | normal,,,
,7.504699,4.7988496,30,UMAP_HRV,sex__age_group__bmi_cat,,,,,,2 | 70-79 | obesity,,,
,8.603282,4.358104,35,UMAP_HRV,sex__age_group__bmi_cat,,,,,,2 | 70-79 | overweight,,,
,-11.042148,10.365226,48,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 60-69 | normal,,,
,-10.4486265,8.798083,69,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 60-69 | obesity,,,
,-11.238261,9.902376,41,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 60-69 | overweight,,,
,-11.106624,10.992569,12,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | low,,,
,-11.127041,10.666803,50,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | normal,,,
,-10.936609,9.712594,54,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | obesity,,,
,-11.375733,10.351267,51,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | overweight,,,
,-11.577199,11.714982,12,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 80+ | normal,,,
,-11.710855,11.852245,11,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,1 | 80+ | overweight,,,
,-12.1912,10.894324,14,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,2 | 60-69 | normal,,,
,-12.199166,10.143684,22,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,2 | 60-69 | obesity,,,
,-12.108955,10.930326,18,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,2 | 60-69 | overweight,,,
,-10.732604,10.134789,26,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,2 | 70-79 | normal,,,
,-12.027258,10.163865,30,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,2 | 70-79 | obesity,,,
,-11.876802,11.093087,35,UMAP_Integrated,sex__age_group__bmi_cat,,,,,,2 | 70-79 | overweight,,,
,10.874846,5.629273,47,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | 60-69 | high,,
,11.114791,5.900435,115,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | 60-69 | normal,,
,10.198997,5.5411935,48,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | 70-79 | high,,
,10.143643,5.3829737,119,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | 70-79 | normal,,
,9.107767,5.8335166,10,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | 80+ | high,,
,11.966058,5.02182,19,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | 80+ | normal,,
,10.0793295,5.814176,8,UMAP_HRV,sex__age_group__bp_cat,,,,,,,1 | <60 | normal,,
,7.785223,4.609949,19,UMAP_HRV,sex__age_group__bp_cat,,,,,,,2 | 60-69 | high,,
,4.342506,4.827617,38,UMAP_HRV,sex__age_group__bp_cat,,,,,,,2 | 60-69 | normal,,
,8.343896,4.869184,33,UMAP_HRV,sex__age_group__bp_cat,,,,,,,2 | 70-79 | high,,
,8.158567,4.8214726,61,UMAP_HRV,sex__age_group__bp_cat,,,,,,,2 | 70-79 | normal,,
,-12.115838,8.827934,47,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | 60-69 | high,,
,-10.259168,9.862698,115,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | 60-69 | normal,,
,-12.262795,9.673582,48,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | 70-79 | high,,
,-10.68703,10.532048,119,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | 70-79 | normal,,
,-12.382968,11.274425,10,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | 80+ | high,,
,-11.13247,11.699097,19,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | 80+ | normal,,
,-11.090862,10.501161,8,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,1 | <60 | normal,,
,-12.53893,9.482293,19,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,2 | 60-69 | high,,
,-11.897087,11.32499,38,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,2 | 60-69 | normal,,
