embedding,grouping,n_groups,n_pairs,mean_centroid_distance,median_centroid_distance,min_centroid_distance,max_centroid_distance,std_centroid_distance,normalized_mean_distance
PCA_HRV,sex__age_group,7,21,0.7823524888644405,0.7607560776877172,0.2693501543673489,1.7347044992714897,0.3767427267737239,0.37623201863728883
PCA_HRV,sex__bmi_cat,8,28,0.7154001323563615,0.7516861722721653,0.07289474290348925,1.6658113316314394,0.5080898952012969,0.32559263160239577
PCA_HRV,sex__bp_cat,4,6,0.49187329759166404,0.69129576239551,0.01582997937286198,0.7059956282138146,0.3225475968066311,0.30561806317073703
PCA_HRV,age_group__bmi_cat,12,66,0.7672910395418678,0.7560535500631591,0.11555976573892764,1.57143120645326,0.4038866040602207,0.29914471305633716
PCA_HRV,age_group__bp_cat,7,21,0.5866634888182302,0.5235170695778478,0.15530426705772538,1.1667867377612657,0.32119250766637486,0.2821255019962262
PCA_HRV,bmi_cat__bp_cat,8,28,0.5157756076117416,0.3112152286910394,0.03110084142833701,1.4718155286531096,0.4780068242311084,0.2347395950927494
PCA_HRV,sex__age_group__bmi_cat,15,105,0.7650611824844294,0.7198298666331514,0.08402081488081654,1.6713996176130508,0.39382767918913864,0.2759374934867332
PCA_HRV,sex__age_group__bp_cat,11,55,0.6013521699008437,0.5868557579516438,0.11280933287013654,1.2113245020814625,0.2843678024655768,0.2420019158273604
PCA_HRV,sex__bmi_cat__bp_cat,13,78,0.6181055342027213,0.5870863666111845,0.04421956602756095,1.2979665071541506,0.37239615564764106,0.23421451564026208
PCA_HRV,age_group__bmi_cat__bp_cat,15,105,0.6212338831354889,0.5403317098623125,0.11642184402009684,1.62087538367809,0.35024456900423984,0.22406276060794092
