,PC1,PC2,PC3,PC4,PC5
log_t2m_pre_sdnn,0.3821049022381335,0.3910861345393696,0.8299376659101484,0.04185709705533676,-0.10246430200980107
log_t2m_pre_rmssd,0.34038903890152017,0.6734812318789387,-0.43421691115257904,-0.4747596802598028,0.12890792284126742
log_t2m_pre_hf,0.49386937369309114,0.09528718832108551,-0.34905352428564784,0.7194632368580056,-0.3279446317039291
log_t2m_pre_lf,0.5283615327598904,-0.36751648184281,0.02195638565518193,0.04475898671709566,0.7637278811923279
log_t2m_pre_vlf,0.4637437636334305,-0.4993261989858201,-0.018403779108058044,-0.5032102079087526,-0.5310893110094062
