,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
log_t2m_pre_sdnn,-0.1148316167539557,0.3569396929734492,0.047928599370461705,0.12280070040074459,0.1897585092819366,0.29808130063947386,0.36883875102076585,0.7535241553892786,0.04542914225719798,-0.10612293863450892,-0.0018102488805642031,5.650609877647707e-17,-9.265968114072656e-17
log_t2m_pre_rmssd,-0.13208141216255126,0.31479143813603816,-0.11832322591123764,0.08981232022337443,0.19237597341000096,0.6159745367026718,0.04439002802777972,-0.44281741374498645,-0.47924603106359226,0.13119118283158193,0.0039301558323070855,-3.414443164011772e-16,6.32827659965955e-17
log_t2m_pre_hf,-0.1953259499975508,0.44986212009331517,0.029482523998138742,-0.0036046704524552997,0.026154035879163443,0.10755076043087747,-0.07335421968367034,-0.34752727465738303,0.7127075573867632,-0.3350075481099266,-0.0005155650128230785,5.881653944603919e-16,-3.6566834904692383e-16
log_t2m_pre_lf,-0.1785250058291664,0.48639436415302084,0.07274264928232782,-0.13574422683251336,-0.007532039424875334,-0.3535658566209703,-0.0250587483617827,0.017575233757082365,0.057507376495513934,0.7605979175084358,0.0035622891863458135,-6.184168104221318e-16,7.158205548773887e-16
log_t2m_pre_vlf,-0.1584809826890335,0.4277862360738955,0.07840431089227098,-0.11754550176813687,-0.06585207003748146,-0.47852656249057535,-0.08720953344553634,-0.007934467445295024,-0.5032120909017048,-0.5269750892902676,-0.0008692539246816283,2.2174319090533119e-16,-3.9746826504023185e-16
age,-0.012182455216299572,-0.03670945672895206,-0.2385327028858768,0.5065534759071235,0.05136220990341328,-0.3469374911483907,0.6986673042789785,-0.27082170580527126,0.022874421680366318,0.0006209626329087168,-0.0014165930613444404,-1.2164164653072805e-16,-1.0787919163025431e-16
weight_kg,0.20924281648483073,0.002499815407166095,0.6401456822133049,0.17630811115267453,0.2648131914039282,-0.033732174455732136,0.021710340901927416,-0.09925384075878493,-0.017345787978499422,0.005935952615005326,0.6583445059551483,-8.101126879196964e-15,4.506029120205615e-15
height_m_final,0.1155605110036776,-0.08229330487463382,0.05221319164184894,-0.16477607598800115,0.864987108685137,-0.1746750256755354,-0.03894548305295338,-0.056253096977381144,0.030499258295682563,-0.027671253814287727,-0.40608506531231836,5.147113257413564e-15,-2.752508195506194e-15
imc_final,0.13926860644135786,0.056431805995594,0.633478252753604,0.28325684347243696,-0.27904744112531954,0.07967637280758585,0.04854835336360616,-0.07182199807694933,-0.040332713773847964,0.030120119848817666,-0.6337392841079965,7.861950155624184e-15,-4.290697959127863e-15
bp_systolic,0.4998741809946335,0.22682459679728809,-0.18858308763866255,0.15397755458413484,-0.01347234757074728,-0.017433489300959296,-0.14851349348729326,0.038409059688343794,0.010381589345281115,0.0030003715129592054,-0.0021425951649567095,-0.4405593610639548,-0.648978329322145
bp_diastolic,0.43012650535311764,0.12671030251765794,0.009726989612606748,-0.46292225936446973,-0.11358956686851059,0.05577744338213072,0.35372072365510865,-0.09055911305338263,0.01098096125999997,-0.025905840395958453,0.0010794456539707882,0.6141084336741263,-0.23935123209504064
bp_pam,0.5200841661499921,0.19443714445087307,-0.09180652576871512,-0.20121011728947863,-0.07592853470813339,0.024823697358623956,0.13775662783201817,-0.035067841003863426,0.012044391923615765,-0.014170083314219704,-0.0004549287937670982,-0.3910528473047989,0.6803942329292278
bp_pp,0.3036067881496778,0.18687607135003476,-0.23791305769208215,0.5206141718485823,0.06498015773788299,-0.06135812309875424,-0.43559233829449495,0.11199348293201097,0.004836448821933761,0.022256554297073777,-0.0033980780428524123,0.5252199079281371,0.24207809393142138
