row_var,col_var,spearman_rho,p_value,n
PC1,age,-0.01564730746359052,0.7192962071165361,530
PC1,weight_kg,0.3289338089597152,7.722140740876376e-15,530
PC1,height_m_final,0.19035134380380728,1.0228972809271195e-05,530
PC1,imc_final,0.2186301826894952,3.7155789940756343e-07,530
PC1,bp_systolic,0.8372132092257436,1.6703778576371279e-140,530
PC1,bp_diastolic,0.7230290643099181,7.318000527300016e-87,530
PC1,bp_pam,0.8789801126003915,6.107093539067892e-172,530
PC1,bp_pp,0.4841423059675802,1.699215852740522e-32,530
PC2,age,-0.06552890714996974,0.1319012765342031,530
PC2,weight_kg,-0.0007644280684333396,0.9859923342978878,530
PC2,height_m_final,-0.11742944304075713,0.0068013932596416235,530
PC2,imc_final,0.08209918938776194,0.058919670242573025,530
PC2,bp_systolic,0.36850815798296555,1.7190903992338725e-18,530
PC2,bp_diastolic,0.21949749641254535,3.3316419600742904e-07,530
PC2,bp_pam,0.3221688625542188,2.893030876987976e-14,530
PC2,bp_pp,0.3105252635768494,2.602466213694639e-13,530
PC3,age,-0.30982003786168694,2.9637072977922273e-13,530
PC3,weight_kg,0.8307177985826578,2.023159224040431e-136,530
PC3,height_m_final,0.0807533414087523,0.06320779152458027,530
PC3,imc_final,0.80512276715059,7.060308660689094e-122,530
PC3,bp_systolic,-0.28413206656520956,2.6721829498368388e-11,530
PC3,bp_diastolic,-0.014483023664058849,0.7393951296742473,530
PC3,bp_pam,-0.14348450500923193,0.0009242702520952866,530
PC3,bp_pp,-0.3425756323551532,4.862116024717527e-16,530
PC4,age,0.5585493014874136,8.292662967152861e-45,530
PC4,weight_kg,0.19055499734532408,1.000410365451218e-05,530
PC4,height_m_final,-0.18945899218375467,1.1272283193138673e-05,530
PC4,imc_final,0.3164882324439225,8.550904706605584e-14,530
PC4,bp_systolic,0.16674925679343802,0.00011486816539200048,530
PC4,bp_diastolic,-0.5150099082338347,3.086897888908856e-37,530
PC4,bp_pam,-0.2367711574641653,3.4553408701890744e-08,530
PC4,bp_pp,0.5837271932117782,1.0093873491404553e-49,530
