group_a,group_b,distance,embedding,grouping
1 | 60-69,1 | 70-79,0.4323258876102196,PCA_Integrated,sex__age_group
1 | 60-69,1 | 80+,1.0067662160789852,PCA_Integrated,sex__age_group
1 | 60-69,1 | <60,1.3658305325347027,PCA_Integrated,sex__age_group
1 | 60-69,2 | 60-69,1.0603128644601478,PCA_Integrated,sex__age_group
1 | 60-69,2 | 70-79,0.8634361396264947,PCA_Integrated,sex__age_group
1 | 60-69,2 | 80+,1.66815333057766,PCA_Integrated,sex__age_group
1 | 70-79,1 | 80+,0.6300689297155158,PCA_Integrated,sex__age_group
1 | 70-79,1 | <60,0.9484186982360209,PCA_Integrated,sex__age_group
1 | 70-79,2 | 60-69,0.8518068253049043,PCA_Integrated,sex__age_group
1 | 70-79,2 | 70-79,0.6496110938211848,PCA_Integrated,sex__age_group
1 | 70-79,2 | 80+,1.4030353352193814,PCA_Integrated,sex__age_group
1 | 80+,1 | <60,0.79388282420916,PCA_Integrated,sex__age_group
1 | 80+,2 | 60-69,0.49710872859139627,PCA_Integrated,sex__age_group
1 | 80+,2 | 70-79,0.416909424137627,PCA_Integrated,sex__age_group
1 | 80+,2 | 80+,0.8450485147142374,PCA_Integrated,sex__age_group
1 | <60,2 | 60-69,1.2909906802399227,PCA_Integrated,sex__age_group
1 | <60,2 | 70-79,1.1873383243187405,PCA_Integrated,sex__age_group
1 | <60,2 | 80+,1.5071456095863252,PCA_Integrated,sex__age_group
2 | 60-69,2 | 70-79,0.20506588479597482,PCA_Integrated,sex__age_group
2 | 60-69,2 | 80+,0.6158160679526264,PCA_Integrated,sex__age_group
2 | 70-79,2 | 80+,0.8049008847259919,PCA_Integrated,sex__age_group
1 | low,1 | normal,0.48064988915261786,PCA_Integrated,sex__bmi_cat
1 | low,1 | obesity,1.1829839582534838,PCA_Integrated,sex__bmi_cat
1 | low,1 | overweight,1.0390768672931143,PCA_Integrated,sex__bmi_cat
1 | low,2 | low,1.6713950734208862,PCA_Integrated,sex__bmi_cat
1 | low,2 | normal,0.5131656209478879,PCA_Integrated,sex__bmi_cat
1 | low,2 | obesity,2.1030380512396776,PCA_Integrated,sex__bmi_cat
1 | low,2 | overweight,1.3467396206568067,PCA_Integrated,sex__bmi_cat
1 | normal,1 | obesity,0.7023346039378106,PCA_Integrated,sex__bmi_cat
1 | normal,1 | overweight,0.5587639632762372,PCA_Integrated,sex__bmi_cat
1 | normal,2 | low,1.6993601261578484,PCA_Integrated,sex__bmi_cat
1 | normal,2 | normal,0.1762666621093512,PCA_Integrated,sex__bmi_cat
1 | normal,2 | obesity,1.688616007677042,PCA_Integrated,sex__bmi_cat
1 | normal,2 | overweight,1.114728664264484,PCA_Integrated,sex__bmi_cat
1 | obesity,1 | overweight,0.14683285469252122,PCA_Integrated,sex__bmi_cat
1 | obesity,2 | low,1.962622035387968,PCA_Integrated,sex__bmi_cat
1 | obesity,2 | normal,0.7225272962791448,PCA_Integrated,sex__bmi_cat
1 | obesity,2 | obesity,1.176269225489786,PCA_Integrated,sex__bmi_cat
1 | obesity,2 | overweight,1.1118062250019016,PCA_Integrated,sex__bmi_cat
1 | overweight,2 | low,1.8661971752524305,PCA_Integrated,sex__bmi_cat
1 | overweight,2 | normal,0.5760086662886381,PCA_Integrated,sex__bmi_cat
1 | overweight,2 | obesity,1.2462665766534287,PCA_Integrated,sex__bmi_cat
1 | overweight,2 | overweight,1.0486722080339894,PCA_Integrated,sex__bmi_cat
2 | low,2 | normal,1.5273188357602798,PCA_Integrated,sex__bmi_cat
2 | low,2 | obesity,1.8735346853811357,PCA_Integrated,sex__bmi_cat
2 | low,2 | overweight,0.9214043142199496,PCA_Integrated,sex__bmi_cat
2 | normal,2 | obesity,1.5947025516653128,PCA_Integrated,sex__bmi_cat
2 | normal,2 | overweight,0.9487454491197381,PCA_Integrated,sex__bmi_cat
2 | obesity,2 | overweight,1.0457631656794766,PCA_Integrated,sex__bmi_cat
1 | high,1 | normal,2.8276970968044215,PCA_Integrated,sex__bp_cat
1 | high,2 | high,0.8177206391129103,PCA_Integrated,sex__bp_cat
1 | high,2 | normal,2.7995500420507122,PCA_Integrated,sex__bp_cat
1 | normal,2 | high,2.859926386895449,PCA_Integrated,sex__bp_cat
1 | normal,2 | normal,0.7687795816131385,PCA_Integrated,sex__bp_cat
2 | high,2 | normal,2.6099613019380943,PCA_Integrated,sex__bp_cat
