sex__age_group,PC1,PC2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat
1 | 60-69,0.43956852823012205,0.04834894610814164,162,PCA_HRV,sex__age_group,,,,,
1 | 70-79,0.13915130128562747,-0.05085685889744879,167,PCA_HRV,sex__age_group,,,,,
1 | 80+,-0.5211386152712353,0.376872128218695,29,PCA_HRV,sex__age_group,,,,,
1 | <60,-0.27869954788224927,0.49422971962748863,8,PCA_HRV,sex__age_group,,,,,
2 | 60-69,-0.5073973177289477,-0.19932986427327776,57,PCA_HRV,sex__age_group,,,,,
2 | 70-79,-0.33049274972952036,0.004920042770758858,94,PCA_HRV,sex__age_group,,,,,
2 | 80+,-1.2639707829542908,-0.2789941690509929,11,PCA_HRV,sex__age_group,,,,,
,0.11621112667998697,-0.15476997656909078,17,PCA_HRV,sex__bmi_cat,1 | low,,,,
,0.17996383716046632,0.20003779137867958,114,PCA_HRV,sex__bmi_cat,1 | normal,,,,
,0.27607494543178973,-0.06603109181914493,130,PCA_HRV,sex__bmi_cat,1 | obesity,,,,
,0.1783289825340013,0.025079872666675992,105,PCA_HRV,sex__bmi_cat,1 | overweight,,,,
,-1.389385201108853,-0.1002347886446406,6,PCA_HRV,sex__bmi_cat,2 | low,,,,
,0.10546914979585939,0.022824142998524508,47,PCA_HRV,sex__bmi_cat,2 | normal,,,,
,-0.5987459494071069,-0.04831527686617952,54,PCA_HRV,sex__bmi_cat,2 | obesity,,,,
,-0.7262142145232322,-0.21201516398765227,57,PCA_HRV,sex__bmi_cat,2 | overweight,,,,
,0.2106260339548013,0.05014796306035847,105,PCA_HRV,sex__bp_cat,,1 | high,,,
,0.21068972834023603,0.03431811183015104,261,PCA_HRV,sex__bp_cat,,1 | normal,,,
,-0.49382640020846175,0.0034939701072129307,56,PCA_HRV,sex__bp_cat,,2 | high,,,
,-0.45788402083686924,-0.1335020892130647,108,PCA_HRV,sex__bp_cat,,2 | normal,,,
,0.12525199812912863,0.6055694828183261,7,PCA_HRV,age_group__bmi_cat,,,60-69 | low,,
,0.23988531864880905,0.11645941612866183,62,PCA_HRV,age_group__bmi_cat,,,60-69 | normal,,
,0.28753898471187544,-0.07844748829812752,91,PCA_HRV,age_group__bmi_cat,,,60-69 | obesity,,
,0.006317849335915776,-0.13305121590904403,59,PCA_HRV,age_group__bmi_cat,,,60-69 | overweight,,
,-0.5686778447453309,-0.5270554912899411,15,PCA_HRV,age_group__bmi_cat,,,70-79 | low,,
,0.4669383304958343,0.16658613151740628,76,PCA_HRV,age_group__bmi_cat,,,70-79 | normal,,
,-0.2598167291660739,-0.055953723543018245,84,PCA_HRV,age_group__bmi_cat,,,70-79 | obesity,,
,-0.15070455065614372,-0.09401409609049817,86,PCA_HRV,age_group__bmi_cat,,,70-79 | overweight,,
,-1.0783217148063997,0.10825664154858547,17,PCA_HRV,age_group__bmi_cat,,,80+ | normal,,
,0.049096311794395185,-0.021584027520410127,7,PCA_HRV,age_group__bmi_cat,,,80+ | obesity,,
,-0.8214390078265145,0.38244889926798026,15,PCA_HRV,age_group__bmi_cat,,,80+ | overweight,,
,-1.0926343742503704,0.3592750394123761,6,PCA_HRV,age_group__bmi_cat,,,<60 | normal,,
,0.2886323106415211,-0.13170377325407356,66,PCA_HRV,age_group__bp_cat,,,,60-69 | high,
,0.15188707163653176,0.033746248632097825,153,PCA_HRV,age_group__bp_cat,,,,60-69 | normal,
,-0.1615310637258284,0.13554715474726875,81,PCA_HRV,age_group__bp_cat,,,,70-79 | high,
,0.029199805566205404,-0.1056107274997299,180,PCA_HRV,age_group__bp_cat,,,,70-79 | normal,
,-0.8217329419262864,0.22673771054154643,14,PCA_HRV,age_group__bp_cat,,,,80+ | high,
,-0.6735552795536542,0.18023184273844547,26,PCA_HRV,age_group__bp_cat,,,,80+ | normal,
,-0.5443704847491596,0.36995285506992676,10,PCA_HRV,age_group__bp_cat,,,,<60 | normal,
,-1.241498328664752,-0.2188714227581904,6,PCA_HRV,bmi_cat__bp_cat,,,,,low | high
,0.06401575993501013,-0.11289822335254382,17,PCA_HRV,bmi_cat__bp_cat,,,,,low | normal
,0.027290584790826578,0.38227628460791246,40,PCA_HRV,bmi_cat__bp_cat,,,,,normal | high
,0.20149838086830982,0.07095860788250928,121,PCA_HRV,bmi_cat__bp_cat,,,,,normal | normal
,0.013876983816789718,-0.11715553608090196,69,PCA_HRV,bmi_cat__bp_cat,,,,,obesity | high
,0.022608258737307884,-0.027037694762437406,115,PCA_HRV,bmi_cat__bp_cat,,,,,obesity | normal
,-0.003015003248320844,-0.009410704583555555,46,PCA_HRV,bmi_cat__bp_cat,,,,,overweight | high
,-0.19423255958906327,-0.0777464250556176,116,PCA_HRV,bmi_cat__bp_cat,,,,,overweight | normal
