group_a,group_b,distance,embedding,grouping
1 | 60-69,1 | 70-79,3.342068910598755,TSNE_HRV,sex__age_group
1 | 60-69,1 | 80+,4.638757228851318,TSNE_HRV,sex__age_group
1 | 60-69,1 | <60,2.403012275695801,TSNE_HRV,sex__age_group
1 | 60-69,2 | 60-69,19.364803314208984,TSNE_HRV,sex__age_group
1 | 60-69,2 | 70-79,10.149666786193848,TSNE_HRV,sex__age_group
1 | 60-69,2 | 80+,17.3155574798584,TSNE_HRV,sex__age_group
1 | 70-79,1 | 80+,4.650370121002197,TSNE_HRV,sex__age_group
1 | 70-79,1 | <60,1.3885529041290283,TSNE_HRV,sex__age_group
1 | 70-79,2 | 60-69,16.194873809814453,TSNE_HRV,sex__age_group
1 | 70-79,2 | 70-79,6.827477931976318,TSNE_HRV,sex__age_group
1 | 70-79,2 | 80+,13.973488807678223,TSNE_HRV,sex__age_group
1 | 80+,1 | <60,3.5303423404693604,TSNE_HRV,sex__age_group
1 | 80+,2 | 60-69,19.590011596679688,TSNE_HRV,sex__age_group
1 | 80+,2 | 70-79,9.946389198303223,TSNE_HRV,sex__age_group
1 | 80+,2 | 80+,16.248870849609375,TSNE_HRV,sex__age_group
1 | <60,2 | 60-69,17.523136138916016,TSNE_HRV,sex__age_group
1 | <60,2 | 70-79,8.05709457397461,TSNE_HRV,sex__age_group
1 | <60,2 | 80+,15.093137741088867,TSNE_HRV,sex__age_group
2 | 60-69,2 | 70-79,9.648786544799805,TSNE_HRV,sex__age_group
2 | 60-69,2 | 80+,5.73988676071167,TSNE_HRV,sex__age_group
2 | 70-79,2 | 80+,7.263368129730225,TSNE_HRV,sex__age_group
1 | 60-69,1 | 70-79,4.713768482208252,TSNE_Integrated,sex__age_group
1 | 60-69,1 | 80+,13.625718116760254,TSNE_Integrated,sex__age_group
1 | 60-69,1 | <60,6.666703701019287,TSNE_Integrated,sex__age_group
1 | 60-69,2 | 60-69,9.094071388244629,TSNE_Integrated,sex__age_group
1 | 60-69,2 | 70-79,7.460919380187988,TSNE_Integrated,sex__age_group
1 | 60-69,2 | 80+,17.562686920166016,TSNE_Integrated,sex__age_group
1 | 70-79,1 | 80+,9.80720329284668,TSNE_Integrated,sex__age_group
1 | 70-79,1 | <60,3.2332847118377686,TSNE_Integrated,sex__age_group
1 | 70-79,2 | 60-69,4.955790042877197,TSNE_Integrated,sex__age_group
