group_a,group_b,distance,embedding,grouping
1 | 60-69,1 | 70-79,0.31637367461883925,PCA_HRV,sex__age_group
1 | 60-69,1 | 80+,1.0153254142188017,PCA_HRV,sex__age_group
1 | 60-69,1 | <60,0.8454103697946805,PCA_HRV,sex__age_group
1 | 60-69,2 | 60-69,0.9788202626248251,PCA_HRV,sex__age_group
1 | 60-69,2 | 70-79,0.7712849288414272,PCA_HRV,sex__age_group
1 | 60-69,2 | 80+,1.7347044992714897,PCA_HRV,sex__age_group
1 | 70-79,1 | 80+,0.7867241322891214,PCA_HRV,sex__age_group
1 | 70-79,1 | <60,0.6868178144445137,PCA_HRV,sex__age_group
1 | 70-79,2 | 60-69,0.6633772305973316,PCA_HRV,sex__age_group
1 | 70-79,2 | 70-79,0.47294460290146423,PCA_HRV,sex__age_group
1 | 70-79,2 | 80+,1.4215478238757453,PCA_HRV,sex__age_group
1 | 80+,1 | <60,0.2693501543673489,PCA_HRV,sex__age_group
1 | 80+,2 | 60-69,0.5763658208203061,PCA_HRV,sex__age_group
1 | 80+,2 | 70-79,0.4179643524479312,PCA_HRV,sex__age_group
1 | 80+,2 | 80+,0.9909390643419794,PCA_HRV,sex__age_group
1 | <60,2 | 60-69,0.7302927949483397,PCA_HRV,sex__age_group
1 | <60,2 | 70-79,0.49204318471372965,PCA_HRV,sex__age_group
1 | <60,2 | 80+,1.2524514316664972,PCA_HRV,sex__age_group
2 | 60-69,2 | 70-79,0.27020964214209975,PCA_HRV,sex__age_group
2 | 60-69,2 | 80+,0.7607560776877172,PCA_HRV,sex__age_group
2 | 70-79,2 | 80+,0.9756989895390648,PCA_HRV,sex__age_group
1 | low,1 | normal,0.3604898893029965,PCA_HRV,sex__bmi_cat
1 | low,1 | obesity,0.18284154400073693,PCA_HRV,sex__bmi_cat
1 | low,1 | overweight,0.19027505429253763,PCA_HRV,sex__bmi_cat
1 | low,2 | low,1.5065836813709337,PCA_HRV,sex__bmi_cat
1 | low,2 | normal,0.17791869315048253,PCA_HRV,sex__bmi_cat
1 | low,2 | obesity,0.7228390026387921,PCA_HRV,sex__bmi_cat
1 | low,2 | overweight,0.8443680873789265,PCA_HRV,sex__bmi_cat
1 | normal,1 | obesity,0.28289573298174653,PCA_HRV,sex__bmi_cat
1 | normal,1 | overweight,0.17496555680957818,PCA_HRV,sex__bmi_cat
1 | normal,2 | low,1.5978172693492516,PCA_HRV,sex__bmi_cat
1 | normal,2 | normal,0.19223458486379544,PCA_HRV,sex__bmi_cat
1 | normal,2 | obesity,0.8173543773680735,PCA_HRV,sex__bmi_cat
1 | normal,2 | overweight,0.9954628568557403,PCA_HRV,sex__bmi_cat
1 | obesity,1 | overweight,0.1336244031318844,PCA_HRV,sex__bmi_cat
1 | obesity,2 | low,1.6658113316314394,PCA_HRV,sex__bmi_cat
1 | obesity,2 | normal,0.19235797425392065,PCA_HRV,sex__bmi_cat
1 | obesity,2 | obesity,0.8750002560834915,PCA_HRV,sex__bmi_cat
1 | obesity,2 | overweight,1.0128647044350214,PCA_HRV,sex__bmi_cat
1 | overweight,2 | low,1.572714699471761,PCA_HRV,sex__bmi_cat
1 | overweight,2 | normal,0.07289474290348925,PCA_HRV,sex__bmi_cat
1 | overweight,2 | obesity,0.7805333419055385,PCA_HRV,sex__bmi_cat
1 | overweight,2 | overweight,0.9351002362039261,PCA_HRV,sex__bmi_cat
2 | low,2 | normal,1.4999110077187598,PCA_HRV,sex__bmi_cat
2 | low,2 | obesity,0.7923421369804907,PCA_HRV,sex__bmi_cat
2 | low,2 | overweight,0.6725255458053399,PCA_HRV,sex__bmi_cat
2 | normal,2 | obesity,0.7077992109377703,PCA_HRV,sex__bmi_cat
2 | normal,2 | overweight,0.8642029383141848,PCA_HRV,sex__bmi_cat
2 | obesity,2 | overweight,0.20747484583750805,PCA_HRV,sex__bmi_cat
1 | high,1 | normal,0.01582997937286198,PCA_HRV,sex__bp_cat
1 | high,2 | high,0.7059956282138146,PCA_HRV,sex__bp_cat
1 | high,2 | normal,0.6932770262006333,PCA_HRV,sex__bp_cat
1 | normal,2 | high,0.7051901184065196,PCA_HRV,sex__bp_cat
1 | normal,2 | normal,0.6893144985903867,PCA_HRV,sex__bp_cat
2 | high,2 | normal,0.14163253476576806,PCA_HRV,sex__bp_cat
