sex__age_group,TSNE1,TSNE2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat,sex__age_group__bmi_cat,sex__age_group__bp_cat,sex__bmi_cat__bp_cat,age_group__bmi_cat__bp_cat
,2.387113,2.0622487,261,TSNE_HRV,sex__bp_cat,,1 | normal,,,,,,,
,-6.232352,-3.9633672,56,TSNE_HRV,sex__bp_cat,,2 | high,,,,,,,
,-8.041139,-7.1570315,108,TSNE_HRV,sex__bp_cat,,2 | normal,,,,,,,
,9.699116,0.31654876,105,TSNE_Integrated,sex__bp_cat,,1 | high,,,,,,,
,-2.339106,-1.8529353,261,TSNE_Integrated,sex__bp_cat,,1 | normal,,,,,,,
,7.8084517,3.568321,56,TSNE_Integrated,sex__bp_cat,,2 | high,,,,,,,
,-3.4219513,5.073068,108,TSNE_Integrated,sex__bp_cat,,2 | normal,,,,,,,
,1.1578699,-3.6377385,7,TSNE_HRV,age_group__bmi_cat,,,60-69 | low,,,,,,
,1.0893388,-0.37216082,62,TSNE_HRV,age_group__bmi_cat,,,60-69 | normal,,,,,,
,1.2476034,-1.3212317,91,TSNE_HRV,age_group__bmi_cat,,,60-69 | obesity,,,,,,
,-2.3084948,-1.4895289,59,TSNE_HRV,age_group__bmi_cat,,,60-69 | overweight,,,,,,
,-7.700599,-4.7673664,15,TSNE_HRV,age_group__bmi_cat,,,70-79 | low,,,,,,
,3.802599,0.26900804,76,TSNE_HRV,age_group__bmi_cat,,,70-79 | normal,,,,,,
,-2.1468556,0.64946675,84,TSNE_HRV,age_group__bmi_cat,,,70-79 | obesity,,,,,,
,-3.2760258,-1.7263896,86,TSNE_HRV,age_group__bmi_cat,,,70-79 | overweight,,,,,,
,-6.9229116,2.6339352,17,TSNE_HRV,age_group__bmi_cat,,,80+ | normal,,,,,,
,-0.31976482,-2.6690524,7,TSNE_HRV,age_group__bmi_cat,,,80+ | obesity,,,,,,
,-0.21664594,5.1503234,15,TSNE_HRV,age_group__bmi_cat,,,80+ | overweight,,,,,,
,-8.914658,-9.810224,6,TSNE_HRV,age_group__bmi_cat,,,<60 | normal,,,,,,
,-7.71178,4.867574,7,TSNE_Integrated,age_group__bmi_cat,,,60-69 | low,,,,,,
,-0.7539035,4.2900085,62,TSNE_Integrated,age_group__bmi_cat,,,60-69 | normal,,,,,,
,5.8441844,-8.793938,91,TSNE_Integrated,age_group__bmi_cat,,,60-69 | obesity,,,,,,
,3.262629,3.3270118,59,TSNE_Integrated,age_group__bmi_cat,,,60-69 | overweight,,,,,,
,-5.8327346,9.909716,15,TSNE_Integrated,age_group__bmi_cat,,,70-79 | low,,,,,,
,-1.6393858,3.8103433,76,TSNE_Integrated,age_group__bmi_cat,,,70-79 | normal,,,,,,
,4.43762,-4.8996797,84,TSNE_Integrated,age_group__bmi_cat,,,70-79 | obesity,,,,,,
,0.9356828,4.1009183,86,TSNE_Integrated,age_group__bmi_cat,,,70-79 | overweight,,,,,,
,-11.665739,5.9763527,17,TSNE_Integrated,age_group__bmi_cat,,,80+ | normal,,,,,,
,-2.2825148,2.634999,7,TSNE_Integrated,age_group__bmi_cat,,,80+ | obesity,,,,,,
,-8.597488,3.549091,15,TSNE_Integrated,age_group__bmi_cat,,,80+ | overweight,,,,,,
,-10.382629,10.299558,6,TSNE_Integrated,age_group__bmi_cat,,,<60 | normal,,,,,,
,0.72878546,0.04196609,66,TSNE_HRV,age_group__bp_cat,,,,60-69 | high,,,,,
,0.03186262,-1.6955698,153,TSNE_HRV,age_group__bp_cat,,,,60-69 | normal,,,,,
,-1.4704703,-0.43881017,81,TSNE_HRV,age_group__bp_cat,,,,70-79 | high,,,,,
,-0.94154143,-0.60798097,180,TSNE_HRV,age_group__bp_cat,,,,70-79 | normal,,,,,
,-4.657012,-4.7037597,14,TSNE_HRV,age_group__bp_cat,,,,80+ | high,,,,,
,-1.72689,6.38309,26,TSNE_HRV,age_group__bp_cat,,,,80+ | normal,,,,,
,-3.590487,-3.1814067,10,TSNE_HRV,age_group__bp_cat,,,,<60 | normal,,,,,
,12.337631,-0.065035805,66,TSNE_Integrated,age_group__bp_cat,,,,60-69 | high,,,,,
,-1.2463545,-1.958227,153,TSNE_Integrated,age_group__bp_cat,,,,60-69 | normal,,,,,
,8.524919,1.90515,81,TSNE_Integrated,age_group__bp_cat,,,,70-79 | high,,,,,
,-2.496522,1.2501143,180,TSNE_Integrated,age_group__bp_cat,,,,70-79 | normal,,,,,
,-3.5086963,5.9313436,14,TSNE_Integrated,age_group__bp_cat,,,,80+ | high,,,,,
