embedding,grouping,n_groups,n_pairs,mean_centroid_distance,median_centroid_distance,min_centroid_distance,max_centroid_distance,std_centroid_distance,normalized_mean_distance,grouping_pretty
TSNE_Integrated,sex__bp_cat,4,6,9.96600604057312,11.417837142944336,3.7614669799804688,13.9566068649292,3.808530559311305,6.1922277110401955,Sex × BP category
TSNE_HRV,age_group__bmi_cat,12,66,6.81169450824911,6.249295234680176,0.9621763229370117,17.3052978515625,3.7662507101931118,2.6556838202023862,Age group × BMI category
TSNE_Integrated,age_group__bmi_cat,12,66,9.802639054529594,9.234205722808838,1.0070539712905884,25.057353973388672,5.704360741383539,3.8217670949382834,Age group × BMI category
TSNE_HRV,age_group__bp_cat,7,21,4.855089468615396,5.323893070220947,0.5553237795829773,11.467512130737305,2.959514668499971,2.3348044998145547,Age group × BP category
TSNE_Integrated,age_group__bp_cat,7,21,10.650202569507417,10.507305145263672,1.705472469329834,24.418012619018555,5.865272441462649,5.121664810497083,Age group × BP category
TSNE_HRV,bmi_cat__bp_cat,8,28,5.7883678163800925,3.567344546318054,0.8452657461166382,17.293371200561523,4.9628725022419955,2.6343997223067452,BMI category × BP category
TSNE_Integrated,bmi_cat__bp_cat,8,28,12.491652403559003,13.087866306304932,2.92010760307312,22.13162612915039,5.38067877041466,5.68519601155341,BMI category × BP category
TSNE_HRV,sex__age_group__bmi_cat,15,105,10.013068852538154,8.886869430541992,0.9735717177391052,23.018238067626953,5.775051181367063,3.6114511944091348,Sex × Age group × BMI category
TSNE_Integrated,sex__age_group__bmi_cat,15,105,9.499114089920408,8.627952575683594,1.1682891845703125,23.3157901763916,5.3612418331171146,3.426081197591663,Sex × Age group × BMI category
TSNE_HRV,sex__age_group__bp_cat,11,55,8.460197681188584,7.415566444396973,0.37331846356391907,26.069866180419922,6.499628888592907,3.4046340058329214,Sex × Age group × BP category
TSNE_Integrated,sex__age_group__bp_cat,11,55,10.232528811151331,10.822128295898438,0.31933194398880005,26.08880615234375,5.57487683310609,4.117872521297458,Sex × Age group × BP category
TSNE_HRV,sex__bmi_cat__bp_cat,13,78,8.18239562939375,7.554079055786133,0.7224710583686829,20.419923782348633,4.911261915952482,3.1004993857358296,Sex × BMI category × BP category
TSNE_Integrated,sex__bmi_cat__bp_cat,13,78,10.844630150458752,10.418546199798584,0.9439474940299988,21.98353385925293,5.527249213807041,4.109281760862603,Sex × BMI category × BP category
TSNE_HRV,age_group__bmi_cat__bp_cat,15,105,5.771279670510974,5.1817946434021,0.5646007657051086,13.21057415008545,3.0815922879887747,2.0815491400573682,Age group × BMI category × BP category
TSNE_Integrated,age_group__bmi_cat__bp_cat,15,105,12.842827200321924,13.242122650146484,0.7643585801124573,27.40776824951172,6.557059338615224,4.632070778224582,Age group × BMI category × BP category
