embedding,grouping,n_groups,n_pairs,mean_centroid_distance,median_centroid_distance,min_centroid_distance,max_centroid_distance,std_centroid_distance,normalized_mean_distance,grouping_pretty
PCA_HRV,sex__age_group,7,21,0.7823524888644405,0.7607560776877172,0.2693501543673489,1.7347044992714897,0.3767427267737239,0.37623201863728883,Sex × Age group
PCA_HRV,sex__bmi_cat,8,28,0.7154001323563615,0.7516861722721653,0.07289474290348925,1.6658113316314394,0.5080898952012969,0.32559263160239577,Sex × BMI category
PCA_HRV,sex__bp_cat,4,6,0.49187329759166404,0.69129576239551,0.01582997937286198,0.7059956282138146,0.3225475968066311,0.30561806317073703,Sex × BP category
PCA_HRV,age_group__bmi_cat,12,66,0.7672910395418678,0.7560535500631591,0.11555976573892764,1.57143120645326,0.4038866040602207,0.29914471305633716,Age group × BMI category
PCA_HRV,age_group__bp_cat,7,21,0.5866634888182302,0.5235170695778478,0.15530426705772538,1.1667867377612657,0.32119250766637486,0.2821255019962262,Age group × BP category
PCA_HRV,bmi_cat__bp_cat,8,28,0.5157756076117416,0.3112152286910394,0.03110084142833701,1.4718155286531096,0.4780068242311084,0.2347395950927494,BMI category × BP category
PCA_HRV,sex__age_group__bmi_cat,15,105,0.7650611824844294,0.7198298666331514,0.08402081488081654,1.6713996176130508,0.39382767918913864,0.2759374934867332,Sex × Age group × BMI category
PCA_HRV,sex__age_group__bp_cat,11,55,0.6013521699008437,0.5868557579516438,0.11280933287013654,1.2113245020814625,0.2843678024655768,0.2420019158273604,Sex × Age group × BP category
PCA_HRV,sex__bmi_cat__bp_cat,13,78,0.6181055342027213,0.5870863666111845,0.04421956602756095,1.2979665071541506,0.37239615564764106,0.23421451564026208,Sex × BMI category × BP category
PCA_HRV,age_group__bmi_cat__bp_cat,15,105,0.6212338831354889,0.5403317098623125,0.11642184402009684,1.62087538367809,0.35024456900423984,0.22406276060794092,Age group × BMI category × BP category
PCA_Integrated,sex__age_group,7,21,0.9068558474503438,0.8518068253049043,0.20506588479597482,1.66815333057766,0.3900816375169223,0.4361054779725898,Sex × Age group
PCA_Integrated,sex__bmi_cat,8,28,1.144492513331891,1.113267444633193,0.14683285469252122,2.1030380512396776,0.5394447233481605,0.5208809901077129,Sex × BMI category
PCA_Integrated,sex__bp_cat,4,6,2.1139391747357874,2.7047556719944033,0.7687795816131385,2.859926386895449,1.0268090696072283,1.3134642587974603,Sex × BP category
PCA_Integrated,age_group__bmi_cat,12,66,1.203346594200466,1.1502878810095596,0.2371753346297677,3.0015553204439946,0.6034203459478008,0.46915023514982246,Age group × BMI category
PCA_Integrated,age_group__bp_cat,7,21,1.8709800258039908,2.515937089636809,0.19123554270378565,3.401210349610695,1.152298984938491,0.8997512016099075,Age group × BP category
PCA_Integrated,bmi_cat__bp_cat,8,28,1.8817058333281338,2.017330472517453,0.1799878115464893,3.622653829089663,1.0880549477190304,0.8564012312339044,BMI category × BP category
PCA_Integrated,sex__age_group__bmi_cat,15,105,0.9961454797808506,0.9949766931643151,0.09902167837410362,2.0084424220244497,0.4401283011436981,0.3592835359209476,Sex × Age group × BMI category
PCA_Integrated,sex__age_group__bp_cat,11,55,1.8291479999931992,2.342085662535068,0.24667232849922324,3.5954127925525077,1.1400924544609252,0.7361033059931056,Sex × Age group × BP category
PCA_Integrated,sex__bmi_cat__bp_cat,13,78,1.8835758808083132,2.0190027316479493,0.07028795710994395,3.784620668430197,1.0957316720252175,0.7137305657103382,Sex × BMI category × BP category
PCA_Integrated,age_group__bmi_cat__bp_cat,15,105,1.8293939821932919,1.88284808752095,0.15297490087641918,3.7147206536664665,1.1966562763242827,0.6598144064855938,Age group × BMI category × BP category
UMAP_HRV,sex__age_group,7,21,2.793212115764618,2.734816551208496,0.3939800262451172,5.65658712387085,1.7654924137566341,1.3432510891881946,Sex × Age group
UMAP_Integrated,sex__age_group,7,21,1.2084485356296812,1.0602011680603027,0.22136752307415009,2.6673789024353027,0.6032614129984838,0.581140903174157,Sex × Age group
UMAP_HRV,sex__bmi_cat,8,28,3.322169804679496,3.247879147529602,0.10404449701309204,8.456657409667969,2.4440373039896133,1.5119846368672478,Sex × BMI category
UMAP_Integrated,sex__bmi_cat,8,28,1.3496718731309687,1.2984804511070251,0.2315250188112259,3.54726243019104,0.7560066831479929,0.6142621409993639,Sex × BMI category
UMAP_HRV,sex__bp_cat,4,6,2.5198905219634375,2.943225622177124,0.3048284947872162,4.092852592468262,1.5239182469087202,1.5656960125615387,Sex × BP category
UMAP_Integrated,sex__bp_cat,4,6,1.51882799466451,1.7340415716171265,0.5080181360244751,1.9588704109191895,0.5521979962860201,0.9437008926721798,Sex × BP category
UMAP_HRV,age_group__bmi_cat,12,66,1.9331382779460964,1.4949491620063782,0.2866273820400238,5.788060188293457,1.4157754731981465,0.7536750276657598,Age group × BMI category
UMAP_Integrated,age_group__bmi_cat,12,66,1.3352117533936645,1.293687641620636,0.3095093071460724,3.446057081222534,0.7048504361548696,0.5205606689697331,Age group × BMI category
UMAP_HRV,age_group__bp_cat,7,21,1.580315572520097,1.510849952697754,0.07969682663679123,3.9572927951812744,1.0066916856297572,0.7599711465047824,Age group × BP category
UMAP_Integrated,age_group__bp_cat,7,21,1.6075706964447385,1.7287664413452148,0.5003026127815247,2.9548497200012207,0.6526138713645945,0.7730780905464139,Age group × BP category
UMAP_HRV,bmi_cat__bp_cat,8,28,1.490334503352642,0.9027294814586639,0.2710525095462799,4.537585258483887,1.2733103774769945,0.6782804628735003,BMI category × BP category
UMAP_Integrated,bmi_cat__bp_cat,8,28,1.4588841976863998,1.500651240348816,0.24881905317306519,2.396449327468872,0.6356844203719435,0.6639668119200913,BMI category × BP category
UMAP_HRV,sex__age_group__bmi_cat,15,105,2.6793773113262085,2.253497838973999,0.161158949136734,6.638767719268799,1.8027206903724813,0.9663810899301813,Sex × Age group × BMI category
UMAP_Integrated,sex__age_group__bmi_cat,15,105,1.2022880735851469,1.0882099866867065,0.08977958559989929,3.3047125339508057,0.6352039981763979,0.43363376037030915,Sex × Age group × BMI category
UMAP_HRV,sex__age_group__bp_cat,11,55,2.4578812168403106,2.008139133453369,0.16762304306030273,7.626025199890137,1.8165405179839422,0.9891241657106131,Sex × Age group × BP category
UMAP_Integrated,sex__age_group__bp_cat,11,55,1.5516069295731458,1.6100696325302124,0.2243904024362564,3.0348947048187256,0.6839548536077479,0.6244125628242498,Sex × Age group × BP category
UMAP_HRV,sex__bmi_cat__bp_cat,13,78,2.2081470550634923,1.8416685461997986,0.2140335738658905,5.48163366317749,1.4284060082259724,0.8367181077439543,Sex × BMI category × BP category
UMAP_Integrated,sex__bmi_cat__bp_cat,13,78,1.5147041752934456,1.6591366529464722,0.21024860441684723,2.5985798835754395,0.6970984158246739,0.5739565254212459,Sex × BMI category × BP category
UMAP_HRV,age_group__bmi_cat__bp_cat,15,105,1.4616675769998915,1.3213237524032593,0.16890616714954376,3.7079217433929443,0.7724956506753332,0.5271851411914826,Age group × BMI category × BP category
UMAP_Integrated,age_group__bmi_cat__bp_cat,15,105,1.6304548112409456,1.771772861480713,0.08090230077505112,3.3522636890411377,0.8307510321652851,0.5880622676427159,Age group × BMI category × BP category
TSNE_HRV,sex__age_group,7,21,10.137602544966198,9.648786544799805,1.3885529041290283,19.590011596679688,6.01490672436863,4.875156306042023,Sex × Age group
TSNE_Integrated,sex__age_group,7,21,8.255108061290922,7.460919380187988,1.9973173141479492,17.562686920166016,4.051626120086491,3.96986782067564,Sex × Age group
TSNE_HRV,sex__bmi_cat,8,28,11.969950720667839,10.9065523147583,0.29702329635620117,30.2325496673584,8.723513171938745,5.447759343371024,Sex × BMI category
TSNE_Integrated,sex__bmi_cat,8,28,9.764931461640767,9.193215370178223,1.8045340776443481,24.03583335876465,5.841465695931657,4.444211830853982,Sex × BMI category
TSNE_HRV,sex__bp_cat,4,6,8.64321826895078,10.121783256530762,0.9581181406974792,13.91917896270752,5.213263218115181,5.370333457522975,Sex × BP category
