,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
log_t2m_pre_sdnn,-0.005884169012358566,-0.026647008997849674,-0.07029048990935266,0.014883889137008357,0.051599384078588086,-0.01847777993688323,0.008618705607598517,0.09556701954121295
log_t2m_pre_rmssd,-0.03703247301137541,-0.08505194373149998,-0.07969735103421069,-0.05205415511901574,0.05806221566801023,-0.04114181987032292,0.00338849459953348,0.11350653610064142
log_t2m_pre_hf,-0.0879390011094135,-0.06385881754084513,-0.11655256660727847,0.018454455640271702,-0.011806765629915665,-0.0585067079650496,-0.039521860417004076,0.038404604885244
log_t2m_pre_lf,-0.07122605327155236,-0.05809676510123584,-0.06894457708455048,-0.00813943464310891,0.000491951842341403,0.0077259026475335535,0.005205935174121594,0.01368437630596662
log_t2m_pre_vlf,-0.061764154205737845,-0.04880379819018249,-0.0938949707723348,0.028189796482955578,0.007688362869277538,-0.0007217091045971242,0.0010240155624673675,0.04194564174395834
