embedding,grouping,n_groups,n_pairs,mean_centroid_distance,median_centroid_distance,min_centroid_distance,max_centroid_distance,std_centroid_distance,normalized_mean_distance
UMAP_HRV,sex__age_group,7,21,2.793212115764618,2.734816551208496,0.3939800262451172,5.65658712387085,1.7654924137566341,1.3432510891881946
UMAP_Integrated,sex__age_group,7,21,1.2084485356296812,1.0602011680603027,0.22136752307415009,2.6673789024353027,0.6032614129984838,0.581140903174157
UMAP_HRV,sex__bmi_cat,8,28,3.322169804679496,3.247879147529602,0.10404449701309204,8.456657409667969,2.4440373039896133,1.5119846368672478
UMAP_Integrated,sex__bmi_cat,8,28,1.3496718731309687,1.2984804511070251,0.2315250188112259,3.54726243019104,0.7560066831479929,0.6142621409993639
UMAP_HRV,sex__bp_cat,4,6,2.5198905219634375,2.943225622177124,0.3048284947872162,4.092852592468262,1.5239182469087202,1.5656960125615387
UMAP_Integrated,sex__bp_cat,4,6,1.51882799466451,1.7340415716171265,0.5080181360244751,1.9588704109191895,0.5521979962860201,0.9437008926721798
UMAP_HRV,age_group__bmi_cat,12,66,1.9331382779460964,1.4949491620063782,0.2866273820400238,5.788060188293457,1.4157754731981465,0.7536750276657598
UMAP_Integrated,age_group__bmi_cat,12,66,1.3352117533936645,1.293687641620636,0.3095093071460724,3.446057081222534,0.7048504361548696,0.5205606689697331
UMAP_HRV,age_group__bp_cat,7,21,1.580315572520097,1.510849952697754,0.07969682663679123,3.9572927951812744,1.0066916856297572,0.7599711465047824
UMAP_Integrated,age_group__bp_cat,7,21,1.6075706964447385,1.7287664413452148,0.5003026127815247,2.9548497200012207,0.6526138713645945,0.7730780905464139
UMAP_HRV,bmi_cat__bp_cat,8,28,1.490334503352642,0.9027294814586639,0.2710525095462799,4.537585258483887,1.2733103774769945,0.6782804628735003
UMAP_Integrated,bmi_cat__bp_cat,8,28,1.4588841976863998,1.500651240348816,0.24881905317306519,2.396449327468872,0.6356844203719435,0.6639668119200913
UMAP_HRV,sex__age_group__bmi_cat,15,105,2.6793773113262085,2.253497838973999,0.161158949136734,6.638767719268799,1.8027206903724813,0.9663810899301813
UMAP_Integrated,sex__age_group__bmi_cat,15,105,1.2022880735851469,1.0882099866867065,0.08977958559989929,3.3047125339508057,0.6352039981763979,0.43363376037030915
UMAP_HRV,sex__age_group__bp_cat,11,55,2.4578812168403106,2.008139133453369,0.16762304306030273,7.626025199890137,1.8165405179839422,0.9891241657106131
UMAP_Integrated,sex__age_group__bp_cat,11,55,1.5516069295731458,1.6100696325302124,0.2243904024362564,3.0348947048187256,0.6839548536077479,0.6244125628242498
UMAP_HRV,sex__bmi_cat__bp_cat,13,78,2.2081470550634923,1.8416685461997986,0.2140335738658905,5.48163366317749,1.4284060082259724,0.8367181077439543
UMAP_Integrated,sex__bmi_cat__bp_cat,13,78,1.5147041752934456,1.6591366529464722,0.21024860441684723,2.5985798835754395,0.6970984158246739,0.5739565254212459
UMAP_HRV,age_group__bmi_cat__bp_cat,15,105,1.4616675769998915,1.3213237524032593,0.16890616714954376,3.7079217433929443,0.7724956506753332,0.5271851411914826
UMAP_Integrated,age_group__bmi_cat__bp_cat,15,105,1.6304548112409456,1.771772861480713,0.08090230077505112,3.3522636890411377,0.8307510321652851,0.5880622676427159
