variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,2.485481554556924,0.11490117548576768,0.11141498272297398,120,0.20300561607106976
sex,0,2,chi2,0.12718504068293982,0.7213687276668495,0.0,123,0.7869477029092904
sex,0,3,chi2,0.30025187510901796,0.5837245607898416,0.0,128,0.6628491245461663
sex,0,4,chi2,2.818713489669371,0.09317105391065121,0.12600754779982304,115,0.19730340828137904
sex,0,5,chi2,0.8872915516751132,0.34621232854508976,0.0,136,0.4616164380601197
sex,0,6,chi2,0.3031213768261468,0.5819321827290718,0.0,115,0.6628491245461663
sex,0,7,chi2,25.31892145445135,4.859186383248015e-07,0.45780687418983845,117,5.831023659897618e-06
sex,0,8,chi2,11.18154761904762,0.0008261483360583391,0.296148887877568,117,0.0035899367214904877
sex,1,2,chi2,4.4368286411252855,0.03517152328650979,0.17191775153829342,117,0.07913592739464703
sex,1,3,chi2,0.7423127225668067,0.3889210363458099,0.0,122,0.5000413324446127
sex,1,4,chi2,0.0,1.0,0.0,109,1.0
sex,1,5,chi2,0.2915965713370178,0.5891992218188145,0.0,130,0.6628491245461663
sex,1,6,chi2,4.868467524723623,0.027351779550692814,0.18904093126101149,109,0.06691571382320644
sex,1,7,chi2,11.02794842219184,0.0008974841803726219,0.30180797004793203,111,0.0035899367214904877
sex,1,8,chi2,2.5244418529601584,0.11209443728904409,0.11737570562612379,111,0.20300561607106976
sex,2,3,chi2,1.2520032051282053,0.2631702205957862,0.04435510616586551,125,0.37896511765793217
sex,2,4,chi2,4.835376794592481,0.027881547426336018,0.18567331495490835,112,0.06691571382320644
sex,2,5,chi2,2.2859777722769277,0.13054784739083597,0.0984145294879509,133,0.21362375027591338
sex,2,6,chi2,0.0,1.0,0.0,112,1.0
sex,2,7,chi2,29.629087493290395,5.231398447031079e-08,0.5032854843163203,114,1.3470711195187856e-06
sex,2,8,chi2,14.53430080721747,0.0001376307064673131,0.34598212872518397,114,0.000707815061831896
sex,3,4,chi2,0.9582432671863921,0.3276298825659204,0.0,117,0.4536413758605052
sex,3,5,chi2,0.03143556685055474,0.8592721375692562,0.0,138,0.9098175574262714
sex,3,6,chi2,1.6241732192414422,0.20251087218851974,0.07284834735105904,117,0.3037663082827796
sex,3,7,chi2,19.525171459435235,9.928276046850834e-06,0.39614698114416713,119,8.935448442165752e-05
sex,3,8,chi2,7.172694012037643,0.007402153238478906,0.228567057478654,119,0.024225228780476418
sex,4,5,chi2,0.4455553916721968,0.5044532202233063,0.0,125,0.6262177906220354
sex,4,6,chi2,5.265822784810126,0.021748139975211363,0.20328647499491945,104,0.060225618392893004
sex,4,7,chi2,9.644472498194009,0.0018992223064699183,0.28678400657765885,106,0.006837200303291706
sex,4,8,chi2,1.975353530635863,0.15988075962704384,0.09591252625186293,106,0.25024814550319907
sex,5,6,chi2,2.708303092048199,0.09982712851777904,0.11710035538023507,125,0.19965425703555809
sex,5,7,chi2,17.856696990032532,2.381795681095279e-05,0.36568941003780997,127,0.00017148928903886008
