cluster,variable,n,mean,std,median,q1,q3,min,max,iqr
4,imc_final,52,30.890861401958883,4.210191319495083,30.043697079595255,27.721092605069437,33.930478752286234,24.21875,40.1246454956059,6.209386147216797
5,imc_final,73,31.91145892714704,6.271171804601092,30.427197857925268,27.73333333333333,33.94587956668568,22.826880934989045,57.07491082045184,6.212546233352352
6,imc_final,52,38.479695673933755,3.9724999752419263,38.062283737024224,35.3049651813388,41.41111111111111,30.859375,47.66600920447074,6.10614592977231
7,imc_final,54,28.56263433908381,4.365326335470433,28.07108863771565,25.40260457081041,31.544051335414498,21.289795918367343,38.53333333333333,6.141446764604087
8,imc_final,54,29.876617311276142,4.010596596261116,29.27638696158489,27.323112498554742,32.412418732089705,19.0234375,40.79084287200832,5.089306233534963
0,bp_systolic,63,113.52380952380952,11.162808559268385,116.0,107.5,122.5,80.0,134.0,15.0
1,bp_systolic,57,131.43859649122808,10.206821150338016,130.0,124.0,137.0,109.0,170.0,13.0
2,bp_systolic,60,124.06666666666666,9.278856348777198,124.5,119.0,130.0,98.0,143.0,11.0
3,bp_systolic,65,130.44615384615383,15.004198130472068,128.0,120.0,138.0,99.0,167.0,18.0
4,bp_systolic,52,145.3846153846154,11.754271390758415,145.5,136.75,153.25,122.0,172.0,16.5
5,bp_systolic,73,152.72602739726028,14.135515037950608,151.0,140.0,162.0,133.0,203.0,22.0
6,bp_systolic,52,119.6923076923077,7.495197054371635,120.0,113.0,125.0,107.0,137.0,12.0
7,bp_systolic,54,129.77777777777777,9.791537868817034,130.5,122.0,136.75,111.0,152.0,14.75
8,bp_systolic,54,120.88888888888889,17.85652110328184,122.0,104.0,134.0,90.0,157.0,30.0
0,bp_diastolic,63,69.36507936507937,5.430801008173082,70.0,67.0,73.0,55.0,83.0,6.0
1,bp_diastolic,57,77.0,9.848857801796106,78.0,70.0,86.0,54.0,94.0,16.0
2,bp_diastolic,60,77.63333333333334,9.040336476913858,78.0,72.0,84.0,55.0,98.0,12.0
3,bp_diastolic,65,78.36923076923077,9.680149196243748,77.0,73.0,84.0,55.0,98.0,11.0
4,bp_diastolic,52,89.17307692307692,8.750845682037228,89.0,83.0,93.0,72.0,115.0,10.0
5,bp_diastolic,73,81.79452054794521,8.735239779367483,81.0,77.0,86.0,61.0,105.0,9.0
6,bp_diastolic,52,71.40384615384616,6.860685426754889,71.5,68.75,76.0,52.0,84.0,7.25
7,bp_diastolic,54,81.12962962962963,7.6554242609377665,81.0,75.25,87.75,60.0,93.0,12.5
8,bp_diastolic,54,71.29629629629629,8.75587054738862,72.0,66.0,78.5,53.0,89.0,12.5
0,bp_pam,63,84.08465608465607,6.113610250986026,85.0,81.16666666666666,88.5,68.66666666666667,95.33333333333331,7.333333333333343
1,bp_pam,57,95.14619883040935,7.371388689100058,94.33333333333331,90.0,100.33333333333331,80.33333333333333,112.66666666666669,10.333333333333314
2,bp_pam,60,93.11111111111111,7.795567494896239,93.83333333333334,88.58333333333334,98.49999999999999,69.33333333333333,109.33333333333331,9.916666666666643
3,bp_pam,65,95.72820512820512,10.08417563763138,94.33333333333331,89.33333333333333,101.66666666666669,69.66666666666667,121.0,12.333333333333357
4,bp_pam,52,107.91025641025641,8.428894019929048,107.83333333333334,100.91666666666667,112.08333333333333,94.33333333333331,129.66666666666666,11.166666666666657
5,bp_pam,73,105.43835616438356,9.397411764818969,104.66666666666669,99.0,111.0,91.33333333333331,135.66666666666666,12.0
6,bp_pam,52,87.5,5.199505590707601,88.66666666666667,83.25,91.16666666666667,72.33333333333333,95.66666666666669,7.916666666666671
7,bp_pam,54,97.34567901234568,6.784481911926797,98.0,92.33333333333333,102.33333333333331,85.0,110.33333333333331,9.999999999999986
8,bp_pam,54,87.82716049382717,10.672510337328351,88.5,78.66666666666667,96.75000000000001,66.0,110.66666666666669,18.083333333333343
0,bp_pp,63,44.15873015873016,10.353753175206949,46.0,38.0,52.0,17.0,65.0,14.0
1,bp_pp,57,54.43859649122807,14.239052867603805,54.0,41.0,65.0,27.0,94.0,24.0
2,bp_pp,60,46.43333333333333,10.042902319830146,46.5,40.75,54.0,16.0,67.0,13.25
3,bp_pp,65,52.07692307692308,12.696342598741394,48.0,44.0,60.0,25.0,84.0,16.0
4,bp_pp,52,56.21153846153846,10.829039641053647,55.0,49.75,62.75,38.0,87.0,13.0
5,bp_pp,73,70.93150684931507,11.455625458363828,70.0,61.0,79.0,50.0,101.0,18.0
6,bp_pp,52,48.28846153846154,10.189068610788448,47.5,40.75,54.25,28.0,82.0,13.5
7,bp_pp,54,48.648148148148145,10.606437004946672,48.0,40.0,59.0,30.0,76.0,19.0
8,bp_pp,54,49.592592592592595,13.98991350738435,50.0,38.0,61.75,21.0,77.0,23.75
