cluster,n,fraction,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp,auto_label
0,63,0.11886792452830189,-1.4666666666666666,1.0,-0.7386363636363636,-2.499999999999998,-0.75,-0.5333333333333333,-0.9090909090909091,0.0,-1.3333333333333313,0.3333333333333284,-1.5567732619583552,-2.0,-2.6666666666666665,-1.6470588235294152,-1.0,lower_vagal__higher_heart_rate__shorter_rr__lower_bmi__lower_sbp__lower_dbp
1,57,0.10754716981132076,-2.433333333333333,2.0,-1.5454545454545454,-5.999999999999994,-1.2327586206896552,-1.0166666666666666,-1.7272727272727273,1.5,0.33333333333333137,-0.3333333333333432,0.0,0.3333333333333333,0.0,0.0,3.0,lower_vagal__lower_global_variability__higher_heart_rate__shorter_rr__older
2,60,0.11320754716981132,0.13333333333333333,0.0,1.0795454545454546,2.3333333333333317,1.1120689655172413,2.05,2.090909090909091,-0.5,-3.41666666666666,0.0,-3.3187596533167074,-0.5833333333333334,0.0,-0.08823529411764242,-0.75,higher_vagal__higher_global_variability__lower_bmi
3,65,0.12264150943396226,0.0,-0.3333333333333333,1.0,-0.08333333333333297,14.629310344827585,26.066666666666666,34.72727272727273,0.5,0.0,-3.666666666666701,0.7815908784578742,0.0,-0.3333333333333333,0.0,0.0,higher_global_variability__higher_bmi
4,52,0.09811320754716982,-1.1166666666666667,1.0,0.23863636363636365,0.3333333333333333,0.0,1.0,0.6818181818181818,-1.5,4.645833333333319,7.333333333333373,0.5913657356471135,2.9166666666666665,3.6666666666666665,2.3823529411764857,3.5,higher_heart_rate__shorter_rr__younger__higher_sbp__higher_dbp
5,73,0.13773584905660377,1.0,-1.0,0.0,1.0,0.3879310344827586,0.0,0.0,1.0,0.2916666666666672,-1.6666666666666865,1.0,3.8333333333333335,1.0,1.8235294117647203,11.0,higher_vagal__lower_heart_rate__longer_rr__older__higher_bmi__higher_sbp__higher_dbp
6,52,0.09811320754716982,0.95,-0.8333333333333334,0.3522727272727273,0.7916666666666669,1.5086206896551724,1.2333333333333334,1.1818181818181819,-1.0,6.8333333333333135,-3.666666666666701,9.13546641303528,-1.3333333333333333,-2.1666666666666665,-1.0,-0.25,higher_vagal__lower_heart_rate__longer_rr__younger__higher_bmi__lower_sbp__lower_dbp
7,54,0.1018867924528302,1.5833333333333333,-1.3333333333333333,-3.3068181818181817,0.0,-0.3793103448275862,-0.08333333333333333,-0.2727272727272727,-0.5,-0.2916666666666672,1.0,-1.5105215226105855,0.4166666666666667,1.0,0.6470588235294178,0.0,lower_global_variability__lower_heart_rate__longer_rr__lower_bmi__higher_dbp
8,54,0.1018867924528302,-0.7333333333333333,0.5,-3.439772727272727,-4.624999999999995,-1.0,-0.7833333333333333,-1.0,1.5,-1.0,0.0,-0.22623157659060394,-1.0,-2.0,-1.0294117647058834,1.0,lower_vagal__lower_global_variability__older__lower_sbp__lower_dbp
