cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,814.0,73.0,129.0,11.7,48.0,64.0,18.0,70.0,69.0,1.56,28.027681660899656,116.0,70.0,85.0,46.0
1,785.0,76.0,93.5,7.5,20.0,35.0,9.0,73.0,73.0,1.55,29.48870392390012,130.0,78.0,94.33333333333331,54.0
2,862.0,70.0,209.0,17.5,156.0,219.0,51.0,69.0,64.0,1.5550000000000002,26.37406812077498,124.5,78.0,93.83333333333334,46.5
3,858.0,69.0,205.5,14.6,940.0,1660.0,410.0,71.0,72.2,1.5,30.22222222222222,128.0,77.0,94.33333333333331,48.0
4,824.5,73.0,172.0,15.1,91.5,156.0,35.5,67.0,83.35,1.665,30.043697079595255,145.5,89.0,107.83333333333334,55.0
5,888.0,67.0,161.5,15.9,114.0,96.0,28.0,72.0,72.9,1.53,30.427197857925268,151.0,81.0,104.66666666666669,70.0
6,886.5,67.5,177.0,15.65,179.0,170.0,41.0,68.0,88.6,1.5,38.062283737024224,120.0,71.5,88.66666666666667,47.5
7,905.5,66.0,16.0,14.7,69.5,91.0,25.0,69.0,71.5,1.57,28.07108863771565,130.5,81.0,98.0,48.0
8,836.0,71.5,10.149999999999999,9.15,33.5,49.0,17.0,73.0,69.8,1.5550000000000002,29.27638696158489,122.0,72.0,88.5,50.0
